Name,Item Rarity,From,Reachable From/Location
Beast Fur,IR8,Grimwarg,Outside
Beast Claw,IR8,Grimwarg,Outside
Orc Tusk,IR3,Orc,Outside
Unrefined Demon Wine,IR4,Orc,Outside
Orcish Cloth,IR7,Orc,Outside
Orc Decoration,IR9,Orc,Outside
Amethyst,IR3,Gather Spot,Outside
Clear Spring Water,IR3,Gather Spot,Outside
Beautiful Conch Shell,IR5,Gather Spot,Outside
Crooker Fang,IR4,Dread Ape,Outside
Ape Fur,IR3,Dread Ape,Outside
Necrophagous Bristle,IR7,Dread Ape,Outside
Lizardscale Pelt,IR2,Saurian,Outside
Saurian Tail,IR2,Saurian,Outside
Apophyllite,IR4,Saurian,Outside
Purple Anise,IR3,Gather Spot,Outside
Baby Herb,IR1,Gather Spot,Outside
Thin Wood,IR1,Gather Spot,Outside
Pine Lumber,IR6,Gather Spot,Outside
Lestania Herb,IR2,Gather Spot,Outside
Red Sage,IR6,Gather Spot,Outside
Rosewood,IR8,Gather Spot,Outside
Linen,IR3,Gather Spot,Outside
Griffin Beak,IR6,Black Griffin/ North of gritten Fort Portcrystal,Outside
Griffin Feather,IR6,Black Griffin/ North of gritten Fort Portcrystal,Outside
Ambrosial Beast-Steak,IR8,Black Griffin/ North of gritten Fort Portcrystal,Outside
Moist Black Leather,IR10,Black Griffin/ North of gritten Fort Portcrystal,Outside
Glossy Black Feather,IR120,Black Griffin/ North of gritten Fort Portcrystal,Outside
Brown Wood,IR2,Gather Spot,Outside
Animal Bone,IR1,Boar,Outside
Beast-Steak,IR1,Boar,Outside
Large Beast-Steak,IR5,Boar,Outside
Thick Dragonscales,?,Gathering Spot (X262 Y167),Outside
Rugged Leather,IR5,Armored Cyclops,Outside
Giant Bone,IR3,Armored Cyclops,Outside
Large Metal Plate,IR5,Armored Cyclops,Outside
Cyclops Tusk,IR5,Armored Cyclops,Outside
Smooth Leather,IR7,Large Newt lvl 36,Outside
Apophyllite,IR4,Large Newt lvl 36,Outside
Superior Saurian Tail,IR6,Large Newt lvl 36,Outside
Northern Oregano,IR8,Chest (X275 Y158),Outside
Dragon Hide,IR8,Water Dragon of Cellar Lake lvl 45,Outside
Water Dragon Fang,IR8,Water Dragon of Cellar Lake lvl 45,Outside
Rose Wood,IR8,Wood Spot (X254 Y150),Outside
Black Wood,IR9,Wood Spot (X254 Y150),Outside
Rose Wood,IR8,Wood Spot (X253 Y152),Outside
Hard Wood,IR3,Wood Spot (X253 Y152),Outside
Goblin Horn,IR3,Goblin,Knights' Old Route
Small Horn,IR1,Goblin,Knights' Old Route
Strong Viscous Liquid,IR4,Blob,Knights' Old Route
Blob Flesh,IR9,Blob,Knights' Old Route
Giant Bone,IR3,Cyclops,Knights' Old Route
Cyclops Tusk,IR5,Cyclops,Knights' Old Route
Onyx,IR6,Chest,Knights' Old Route
Large Beast-Steak,IR5,Chest,Knights' Old Route
Mentor's Ring,IR8,Small Thief's Key,Knights' Old Route
Blue Alluvial Gold,IR6,Gather Spot,Knights' Old Route
White Seashell,IR2,Gather Spot (X44 Y50),Dry Underground Stores lvl 38
Small Goblin Horn,IR1,Goblin lvl 38,Dry Underground Stores lvl 38
