Name,Item Rarity,From,Reachable From/Location
Small Horn,IR1,Goblin lv8,Outside
Saurian Tail,IR2,Saurian lv8,Outside
Rock Scale,IR6,Saurian lv8,Outside
Saurian Gland,IR6,Saurian lv8,Outside
Lizardscale Pelt,IR2,Giant Saurian lv8,Outside
Apophyllite,IR4,Giant Saurian lv8,Outside
Coarse Sand,IR2,Debrees Spot(Hidden Beach),Outside
Polishing Sand,IR3,Debrees Spot(Hidden Beach),Outside
Clear Water,IR2,Water Spot (X109Y269),Outside
Saurian Gland,IR6,Sulfur Saurian lv8 ($),Outside
Lizardscale Pelt,IR2,Sulfur Saurian lv8 ($),Outside
Apophyllite,IR4,Sulfur Saurian lv8 ($),Outside
Lizardscale Pelt,IR2,Giant Sulfur Saurian lv10,Outside
Apophyllite,IR4,Giant Sulfur Saurian lv10,Outside
Saurian Tail,IR2,Giant Sulfur Saurian lv10,Outside
Giant Bone,IR3,Armored Cyclops lv15 (X102Y293),Outside
Large Metal Plate,IR5,Armored Cyclops lv15 (X102Y293),Outside
Cyclops Tusk,IR5,Armored Cyclops lv15 (X102Y293),Outside
Giant Apophyllite,IR85,Saurian lv9,Outside
Clear Water,IR2,Water Spot (along the coast),Outside
Clear Water,IR2,Debrees Spot(along the coast),Outside
Clear Water,IR2,Dead Guy(next to shipwreck),Outside
White Seashell,IR2,Debrees Spot(next to shipwreck),Outside
Coarse Sand,IR2,Debrees Spot(next to shipwreck),Outside
Coarse Sand,IR2,Dragon Carcass(next to shipwreck),Outside
Harpy Pinion,IR2,Harpy lv8,Outside
Polishing Sand,IR3,Debrees Spot(Birdcall Rock),Outside
Coarse Sand,IR2,Debrees Spot(Birdcall Rock),Outside
Animal Fur,IR1,Chest(X74Y304),Outside
White Seashell,IR2,Chest(X74Y304),Outside
White Liquor,IR5,Rogue Warrior lv8(near shipwreck),Outside
Polishing Sand,IR3,Debrees Spot(near shipwreck),Outside
Bird Feather,IR1,Harpy lv9(near Birdcall Rock Cyclops),Outside
Giant Bone,IR3,Armored Cyclops lv17 (X68Y311),Outside
Large Metal Plate,IR5,Armored Cyclops lv17 (X68Y311),Outside
Small Nut,IR2,Blue Herb Spot(next to cyclops),Outside
Lestania Herb,IR2,Yellow Herb Spot (Behind Lighthouse),Outside
Animal Fur,IR1,Crate(Lighthouse balcony),Outside
Small Fang,IR2,Crate(Lighthouse balcony),Outside
Restorative,IR2,Crate(Lighthouse balcony),Outside
Restorative,IR2,Chest(top of Lighthouse),Outside
Magick Medal,IR7,Golem lv17(near Seaside Cellar),Outside
Goblin Horn,IR3,HobGoblin lv9-10,Outside
Unrefined Demon Wine,IR4,HobGoblin lv9-10,Outside
White Seashell,IR2,Chest(X107Y313),Outside
Animal Fur,IR1,Chest(X107Y313),Outside
Brown Wood,IR2,Logging Spot(on hill of Goblin Camp),Outside
Brown Wood,IR2,Logging Spot(near cliffs/Roaring Tide),Outside
Coarse Sand,IR2,Debrees Spot(Blue Claw Beach),Outside
Polishing Sand,IR3,Debrees Spot(Blue Claw Beach),Outside
White Seashell,IR2,Debrees Spot(Blue Claw Beach),Outside
Peridot,IR4,Chest(ShipwreckX108Y352),Outside
2x 1000G,IRX,Chests on the same shipwreck,Outside
Brown Wood,IR2,Logging Spot(X108Y338),Outside
Brown Wood,IR2,Logging Spot(X124Y352),Outside
Dragon Hide,IR8,Wyrm lv52(17000XP),Outside
Huge Dragon Bone Lump,IR12,Wyrm lv52(17000XP),Outside
