Name,Item Rarity,From,Reachable From/Location
Large Fang,IR5,DireWolf lvl 38,Outside
Strong Animal Leather,IR5,DireWolf lvl 38,Outside
Beast Leather,IR9,DireWolf lvl 38,Outside
Lestania Herb,IR2,Herb Spot (X248|Y503),Outside
Deenan Hyssop,IR9,Herb Spot (X248|Y503),Outside
White Wood ,IR7,Logging Spot (X249|Y506),Outside
Pine Lumber,IR6,Logging Spot (X249|Y506),Outside
Hard Wood ,IR3,Logging Spot (X249|Y506),Outside
Rosewood,IR8,Logging Spot (X249|Y506),Outside
Ape Pelt,IR3,Brute Ape lvl 35,Outside
Ape Fur,IR3,Brute Ape lvl 35,Outside
Sharp Claw,IR7,Brute Ape lvl 35,Outside
Ent Branch,IR4,Ent lvl 38,Outside
Ent Leaf,IR4,Ent lvl 38,Outside
Angelica ,IR4,Water Spot (X240|Y523),Outside
Clear Spring Water,IR3,Water Spot (X240|Y523),Outside
Angelica ,IR4,Herb Spot (X249|Y521),Outside
Blue Flower,IR7,Herb Spot (X249|Y521),Outside
Angelica ,IR4,Herb Spot (X252|Y515),Outside
Deenan Hyssop,IR9,Herb Spot (X252|Y515),Outside
Harpy Pinion,IR2,Harpy lvl 38,Outside
Harpy Flight Feather ,IR6,Harpy lvl 38,Outside
Bird Feather,IR1,Harpy lvl 38,Outside
Blue Flower,IR7,Herb Spot (X263|Y510),Outside
Deenan Hyssop,IR9,Herb Spot (X263|Y510),Outside
Rock Scale ,IR6,Saurian lvl 39,Outside
Saurian Tail ,IR2,Saurian lvl 39,Outside
Apophyllite,IR4,Saurian lvl 39,Outside
Giant Apophyllite,IR85,Saurian lvl 39,Outside
Saurian Gland ,IR6,Saurian lvl 39,Outside
Lizardscale Pelt,IR2,Saurian lvl 39,Outside
Topaz,IR8,Debrees Spot (X274|Y526),Outside
Clear Spring Water,IR3,Water Spot (X278|Y533),Outside
Energy Liquid,IR8,Water Spot (X278|Y533),Outside
Large Fang,IR5,Chest (X277|Y535),Outside
King Bay Leaf,IR8,Chest (X277|Y535),Outside
Clear Water,IR2,Water Spot (X273|Y541),Outside
Healing Drop ,IR7,Water Spot (X273|Y541),Outside
