Name,Item Rarity,From,Reachable From/Location
Scroll of Fire,IR5,Flame Skeleton Brute lvl 50,Outside
Bonemeal,IR10,Flame Skeleton Brute lvl 50,Outside
Lava Rock,IR8,Geo Golem lvl 55,Outside
High Quality Magick Medal,IR10,Geo Golem lvl 55,Outside
Magick Medal,IR7,Geo Golem lvl 55,Outside
Scroll of Great Sorcery,IR7,chest x383 y148,Outside
Shadowy Claw,?,Shadow Chimera X345Y146,Outside
Sinister Horn,?,Shadow Chimera X345Y146,Outside
Chipped Gold Lump,IR10,Damned Golem lvl 49,Ruins Site Cellar lvl 47
Dirty Sheet Metal,IR10,Damned Golem lvl 49,Ruins Site Cellar lvl 47
Chipped Gold Lump,IR10,Damned Goblin lvl 50,Ruins Site Cellar lvl 47
Cracked Black Horn,IR10,Damned Goblin lvl 50,Ruins Site Cellar lvl 47
Silver Ore,IR7,Chest (X48 Y43),Ruins Site Cellar lvl 47
Animal Bone,IR1,Gather Spot (X50 Y47),Ruins Site Cellar lvl 47
Large Beast-Steak,IR5,Gather Spot (X50 Y47),Ruins Site Cellar lvl 47
Blank Scroll,IR2,Chest (X52 Y52),Old Capital Ruins lvl 47
Chipped Gold Lump,IR10,Damned Goblin lvl 50,Water Channel Ruins lvl 47
Cracked Black Horn,IR10,Damned Goblin lvl 50,Water Channel Ruins lvl 47
Beautiful Conch Shell,IR5,Gather Spot (X54 Y-41),Water Channel Ruins lvl 47
Sharp Claw,IR7,Silver Roar lvl 52,Water Channel Ruins lvl 47
Silver Ore,IR7,Mining Spot (X55 Y-38),Water Channel Ruins lvl 47
Transmuted Fur,IR10,Shadow Wolf lvl 50,Empty Chapel lvl 50
Demonic Gem,IR10,Shadow Wolf lvl 50,Empty Chapel lvl 50
Cracked Black Horn,IR10,Shadow Goblin lvl 52,Empty Chapel lvl 50
Demonic Gem,IR10,Shadow Goblin lvl 52,Empty Chapel lvl 50
Coconut-Scented Milk Cap,IR6,Mushroom Spot (X54 Y-9),Empty Chapel lvl 50
High Quality Gala Mushroom,IR7,Mushroom Spot (X54 Y-9),Empty Chapel lvl 50
Harpy Flight Feather,IR6,Shadow Harpy lvl 52,Empty Chapel lvl 50
Demonic Gem,IR10,Shadow Harpy lvl 52,Empty Chapel lvl 50
High Quality Magick Medal,?,Chest x29|y-88,Empty Chapel lvl 50
Bristly Felt (HIGH END GEAR MATS),?,chest x51 -y188 1~5,Mysterious Mausoleum >>> Mysterious Mausoleum: Deepest Level LV 65
Ancient Beast Pelt (HIGH END GEAR MATS),?,chest x51 -y188 1~5,Mysterious Mausoleum >>> Mysterious Mausoleum: Deepest Level LV 65
Topaz Pendant,IR 8,Empress Ghost LV70(77500XP),Mysterious Mausoleum >>> Mysterious Mausoleum: Deepest Level LV 65
Spirit Silver Ingot,?,Chest,Mysterious Mausoleum >>> Mysterious Mausoleum: Deepest Level LV 65
Silver Ingot,?,Chest,Mysterious Mausoleum >>> Mysterious Mausoleum: Deepest Level LV 65
Water of Ruin (HIGH END GEAR MATS),45,Wight LV 50,Shrine of Resentment LV48
Droplets of Ruin (HIGH END GEAR MATS),45,Witch LV 50,Shrine of Resentment LV48
Abyssal Ice of Chaos (HIGH END GEAR MATS),11,?,Shrine of Resentment LV48
Gold Ore,?,Chest x66 y-105,Shrine of Resentment LV48
Gold Ore,?,chest (1~5),Shrine of Resentment LV48
Coarse Sand,?,Mud Man,Shrine of Resentment LV48
Silken Sand,?,Mud Man,Shrine of Resentment LV48
Magic Silt,?,Mud Man,Shrine of Resentment LV48
Ancient Knight's Scripture (HIGH END GEAR MATS),IR 60,Death Knight lv60,Dead Lord's Ladybrinth LV60
Ancient Knight's Letter (HIGH END GEAR MATS),?,Death Knight lv60,Dead Lord's Ladybrinth LV60
Ancient Knight's Book (HIGH END GEAR MATS),?,Death Knight lv60,Dead Lord's Ladybrinth LV60
Exquisite Metal Plate,?,Skeleton Lord Lv?,Dead Lord's Ladybrinth LV60
Phantom Ore,?,Mining Spot(x45y-121),Dead Lord's Ladybrinth LV60
Mithril Ingot,IR 9,Gather spot (x42y-234),Dead Lord's Ladybrinth LV60
Random BBI item exchange,?,Death LV70 ???,Dead Lord's Ladybrinth LV60
Sapphire,?,Chest x38-y176,Dead Lord's Ladybrinth LV60
