Name,Item Rarity,From,Reachable From/Location
Small Horn,IR1,Goblin Figher lv1,Outside
Clear Insect Wing,IR1,Killer Bee lv1,Outside
Baby Herb,IR1,Green plants,Outside
Lestania Herb,IR2,Yellow flower plants,Outside
Beast Fur,IR8,Grimwarg lv3,Outside
Orc Tusk,IR3,Orc Soldier lv5,Outside
Thin Wood,IR1,Logging Spot,Outside
Bird Feather,IR1,Crates(X207Y262),Outside
Animal Bone,IR1,Crates(X207Y262),Outside
Animal Pelt,IR1,Crates(X207Y262),Outside
Saurian Tail,IR2,Saurian lv3,Outside
Rock scale,IR6,Saurian lv3,Outside
Apophyllite,IR4,Saurain lv3,Outside
Giant Apophyllite,IR85,Saurian lv3,Outside
Iron Ore Fragment,IR3,Skeleton Knight lv2,Outside
Spider Thread,IR1,Chest (X210Y258),Outside
Fine Bleached Bone,IR3,Skeleton Knight lv2,Outside
Magick-Tinged Bone,IR5,Skeleton Sorcerer,Outside
Animal Bone,IR1,Crates(X220Y264),Outside
Animal Pelt,IR1,Crates(X220Y264),Outside
Bird Feather,IR1,Crates(X220Y264),Outside
Small Thief's key,IR4,Crates(X220Y264),Outside
Small Fang,IR2,Wolf lv5,Outside
Animal Fur,IR1,Wolf lv5,Outside
Ape Fur,IR3,Brute Ape lv5,Outside
Ape Pelt,IR3,Brute Ape lv5,Outside
White Seashell,IR2,Debrees Spot(riverside),Outside
Clear Water,IR2,Water Spot (river),Outside
Animal Pelt,IR1,Local Fauna (Deers etc),Outside
Animal Bone,IR1,Local Fauna (Deers etc),Outside
Sphinx Azure Pinion,IR4,Sphinx lv15 (X239Y310),Outside
Gala Mushroom,IR1,Mushroom Stump Spot,Outside
Quality Gala Mushroom,IR2,Mushroom Stump Spot,Outside
Bronze Ore,IR1,Locked Chest(X239Y299),Outside
Terry Cloth,IR2,Chest(X242Y300),Outside
Pine Lumber,IR6,Logging Spot (X258Y322),Outside
Spider Thread,IR1,Spider lv1 (behind Catacombs),Outside
Spider Mesh,IR45,Spider lv1 (behind Catacombs),Outside
Bird Feather,IR1,Crates(Demon Bridge),Outside
Animal Bone,IR1,Crates(Demon Bridge),Outside
Animal Pelt,IR1,Crates(Demon Bridge),Outside
Unrefined Demon Wine,IR4,Goblin lv5 (Near TelClops),Outside
Giant Bone,IR3,Cyclops lv10(1100XP),Outside
Cyclops Tusk,IR5,Cyclops lv10(1100XP),Outside
Filament,IR2,Chest(X194Y295),Outside
Hidell Medal ,IR8,Chest (X265Y323),Outside
Spider Thread,IR1,Spider lv1,Training Chapel
Spider Mesh,IR45,Spider lv1,Training Chapel
Small Horn,IR1,Shield Goblin lv5,Training Chapel
Goblin Horn,IR3,Goblin Fighter lv10,Training Chapel
Giant Bone,IR3,Cyclops lv7(700XP),Training Chapel
Cyclops Tusk,IR5,Cyclops lv7(700XP),Training Chapel
Orc Tusk,IR3,Orc Soldier lv10,ABANDONED WELL ON HIDELL ROAD LV6. X:190 Y262
Lizardscale Pelt,IR2,Saurian lv6,ABANDONED WELL ON HIDELL ROAD LV6. X:190 Y263
Saurian Tail,IR2,Saurian lv6,ABANDONED WELL ON HIDELL ROAD LV6. X:190 Y264
Clear Water,IR2,Water Spot,ABANDONED WELL ON HIDELL ROAD LV6. X:190 Y265
Lead Ore,IR2,Mining Spot,ABANDONED WELL ON HIDELL ROAD LV6. X:190 Y266
Copper ore,IR2,Mining Spot,ABANDONED WELL ON HIDELL ROAD LV6. X:190 Y267
Fluorite,IR2,Locked Chest,ABANDONED WELL ON HIDELL ROAD LV6. X:190 Y268
Undead Carrion,IR1,Undead lv10,SMALL CAVE TOMBS LV10 X:207 Y:255
Burial Shroud,IR2,Undead lv10,SMALL CAVE TOMBS LV10 X:207 Y:256
Beast's Mane,IR5,Chimera lv12,SMALL CAVE TOMBS LV10 X:207 Y:257
Mutated Bone Lump,IR7,Chimera lv12,SMALL CAVE TOMBS LV10 X:207 Y:258
Strong Lizardscale Pelt,IR7,Chimera lv12,SMALL CAVE TOMBS LV10 X:207 Y:259
Stagnant Shroom,IR3,Shroom Spot,SMALL CAVE TOMBS LV10 X:207 Y:260
Rotten Lump,IR3,Stout Undead lv12,SMALL CAVE TOMBS LV10 X:207 Y:261
Lantern Kindling,IR1,Chest 1,SMALL CAVE TOMBS LV10 X:207 Y:262
Agate,IR7,Witch lv10,SMALL CAVE TOMBS LV10 X:207 Y:263
Magickal Potion,IR9,Witch lv10,SMALL CAVE TOMBS LV10 X:207 Y:264
Iron Ore Fragment,IR3,Chest 2,SMALL CAVE TOMBS LV10 X:207 Y:265
Dry Bone,IR2,Skeleton Mage lv10,SMALL CAVE TOMBS LV10 X:207 Y:266
Magick-Tinged Bone,IR5,Skeleton Sorcerer lv10,SMALL CAVE TOMBS LV10 X:207 Y:267
Giant Bone,IR3,Cyclops lv13,SMALL CAVE TOMBS LV10 X:207 Y:268
Large Metal Plate,IR5,Cyclops lv13,SMALL CAVE TOMBS LV10 X:207 Y:269
Cyclops Tusk,IR5,Cyclops lv13,SMALL CAVE TOMBS LV10 X:207 Y:270
Quality Gala Mushroom,IR2,Shroom Spot,SMALL CAVE TOMBS LV10 X:207 Y:271
Burial Shroud,IR2,Chest 3&4,SMALL CAVE TOMBS LV10 X:207 Y:272
Lockpick,IR1,Chest 4,SMALL CAVE TOMBS LV10 X:207 Y:273
Rotten Lump,IR3,Undead Warrior lv11,SMALL CAVE TOMBS LV10 X:207 Y:274
Sinister Carrion,IR9,Undead Warrior lv11,SMALL CAVE TOMBS LV10 X:207 Y:275
Burial Shroud,IR2,Sword Undead lv10,SMALL CAVE TOMBS LV10 X:207 Y:276
Undead Carrion,IR1,Sword Undead lv10,SMALL CAVE TOMBS LV10 X:207 Y:277
Ogre Fur,IR6,Ogre lv15,SMALL CAVE TOMBS LV10 X:207 Y:278
Ogre Claw,IR6,Ogre lv15,SMALL CAVE TOMBS LV10 X:207 Y:279
Blank Scroll,IR2,Chest 6,SMALL CAVE TOMBS LV10 X:207 Y:280
Iron Ore Fragment,IR3,Locked Chest (7),SMALL CAVE TOMBS LV10 X:207 Y:281
Small Horn,IR1,Shield Goblin lv14,PLAINS ABANDONED HOUSE CELLAR LV14 X:235 Y:284
Goblin Horn,IR3,Shield Goblin lv14,PLAINS ABANDONED HOUSE CELLAR LV14 X:235 Y:285
