Name,Item Rarity,From,Reachable From/Location
Scroll of Thunder,IR5,Bolt Skeleton,Outside
Undead Nail Shaving,IR85,Bolt Skeleton Brute,Outside
Demon Beast's Liver,IR80,Warg,Outside
Demon Wolf's Sinewy Meat,IR45,Warg,Outside
Cedar Wood,IR5,Gather Spot,Outside
Premium Fragrant Wood,IR45,Gather Spot(x207y383),Outside
Mandragora Mushroom,IR85,Gather Spot,Outside
Old Geranium,IR45,Gather Spot,Outside
Purple Anise,IR3,Gather Spot,Outside
Quality Gala Mushroom,IR2,Gather Spot,Outside
Phindym Manuscript,IR55,Gather Spot x185y414,Outside
Silken Sand,IR3,Gather Spot,Outside
Scroll of Great Sorcery,IR7,Chest (x185y390)(x190y393),Outside
Elana Water,IR50,Chest,Outside
Scroll of Protection,IR4,Chest (x185y390),Outside
Phantom Ore,IR7,Ghost,Outside
Cursed Letter,IR85,Ghost,Outside
Shrieking Mushroom,IR50,Gather Spot x188y417,Outside
Moonglow,IR5,Gather Spot,Outside
High Quality Gala Mushroom,IR7,Gather Spot,Outside
Bronze Tail Feather,IR45,Stymphalides,Outside
Scarlet Plume,IR50,Chest(X198Y411)(x200y408),Outside
Scarlet Plume,IR50,Chest(X200Y409),Outside
Rainbow Feather,IR50,Chest(X198Y411)(x200y408),Outside
Hard Leather Cloth,IR6,Chest,Outside
Transparent Coarse Sand,?,X196Y412,Outside
Clear Fine Sand,?,X196Y412,Outside
Stiff Crocodile Skin,IR45,Foot-Biter,Outside
Crystal-Encrusted Twig,IR70,Gather Spot x191y377,Outside
Crystallized Sap,IR70,Gather Spot x191y377,Outside
Gold (85k)RNG,?,Chest(x192y386),Outside
White Shining Sand,?,Gather Spot,Outside
Scroll of Defense,IR7,Chest,Outside
Transparent Coarse Sand,IR65,Gather Spot x190y417,Outside
Shrieking Mushroom,IR50,Chest x197y405,Outside
S.Infected Gorecyclops LV80,,Only apear at Night(x200y408),Outside
Crystal-Encrusted Twig,IR70,Gather Spot x220y387,Outside
Crystallized Sap,IR70,Gather Spot x220y387,Outside
Smooth White Mud,?,Around Elan Water Grove Depths,Outside
Thick Shell,?,Gather Spot x193y372,Outside
Thick Shell,?,Gather Spotx194/y360,Outside
Thick Shell,?,Gather Spot 186/372,Outside
Thick Shell,?,Gather Spot 186/383,Outside
Giant Fossil Shell,?,Gather Spot 186/383   10%,Outside
Thick Shell,?,Gather Spot 193/388,Outside
Thick Shell,?,Gather Spot 195/385,Outside
Ancient Manuscript Scrap,IR55,Gather Spot x185y414,Outside
Broken Dagger,IR7,Infected Hobgoblin,Morrow Forest
High Quality Gala Mushroom,IR7,Gather Spot,Morrow Forest
Quality Gala Mushroom,IR2,Gather Spot,Morrow Forest
Moonglow,IR5,Gather Spot,Morrow Forest
Crab Brittlegill,IR45,Gather Spot,Morrow Forest
Rotten Tree,IR45,Gather Spot,Morrow Forest
Wijnruit,IR50,Gather Spot(x198y316),Morrow Forest
Baby Herb,IR1,Gather Spot,Morrow Forest
Pixie Mock Wing,IR45,(S) Infected Pixie,Morrow Forest
Phantom Ore,IR7,Ghost,Morrow Forest
Cursed Letter,IR85,Ghost,Morrow Forest
Wild Herb,IR3,Gather Spot,Morrow Forest
Scroll of Darkness,?,Dark Skeleton,Morrow Forest
Bronze Tail Feather,IR45,(S) Infected Stymphalides,Morrow Forest
Thin Wood,IR1,Gather Spot,Morrow Forest
Not blood orb mob,?,(S) Infected Gorecyclops,Morrow Forest
Discoloured Organs,IR50,Chest,Morrow Forest
Demon Scraps,IR50,Chest,Morrow Forest
Demon Beast's Liver,IR80,Warg,Morrow Forest
Wjinruit,IR50,Gather Spot(X214Y310|X227Y298),Morrow Forest
Kingalite,?,Mining Spot(x298y261),Morrow Forest
Old Geranium,IR45,Gather Spot,Dancing Rainbow Cave
Demon Beast's Liver,IR80,Warg,Dancing Rainbow Cave
Demon Wolf's Sinewy Meat,IR45,Warg,Dancing Rainbow Cave
Agate,IR7,Chest,Dancing Rainbow Cave
Scroll of Sorcery,IR4,Chest,Dancing Rainbow Cave
Scroll of Magickal Defense,IR7,Chest,Dancing Rainbow Cave
Onyx,IR6,Chest,Dancing Rainbow Cave
Purple Petals,IR45,Gather Spot,Dancing Rainbow Cave
Stiff Crocodile Skin,IR45,Foot-Biter,Dancing Rainbow Cave
Purple Algae Seed ( Search All flower gathers),,X161Y367,Dancing Rainbow Cave
Purple Algae Seed,?,Flower gathering,Dancing Rainbow Cave
Stiff Crocodile Skin,IR45,Foot-Biter,Dancing Rainbow Cave Depths
Agate,IR7,Chest,Dancing Rainbow Cave Depths
Onyx,IR6,Chest,Dancing Rainbow Cave Depths
Fluorite,IR2,Eye,Dancing Rainbow Cave Depths
Eye Gem,IR10,Eye,Dancing Rainbow Cave Depths
Demon Beast's Liver,IR80,Warg,Dancing Rainbow Cave Depths
Demon Wolf's Sinewy Meat,IR45,Warg,Dancing Rainbow Cave Depths
