Monster,Level,Location,Area Level
Grimwarg(6),38,Betland Cemetery,40
Grimwarg(6),40,Betland Cemetery,40
Sword Undead,40,Betland Cemetery,40
Orc Aimer,37,Betland Cemetery,40
Skeleton Knight,40,Betland Cemetery,40
Skeleton Sorcerer,40,Betland Cemetery,40
Troll,40,Betland Cemetery,40
Worm,33,Knights' Old Route,36
Stout Undead,36,Knights' Old Route,36
Skeleton Knight,36,Knights' Old Route,36
Armoured Cyclops,34,Knights' Old Route,36
Sword Undead,36,Knights' Old Route,36
Orc Banger,38,Dry Underground Stores,38
Orc Aimer,38,Dry Underground Stores,38
Skeleton Knight,38,Dry Underground Stores,38
Skeleton Mage,38,Dry Underground Stores,38
Alchemised Wolf,46,The Second Ark,46
Alchemised Harpy,46,The Second Ark,46
Alchemised Skeleton,46,The Second Ark,46
Goliath,55,The Second Ark,46
Alchemised Goblin,46,The Second Ark,46
Alchemised Goblin Fighter,46,The Second Ark,46
Damned Golem,55,The Second Ark,46
Zuhl,60,The Second Ark,46
Rock Saurian(9),37,Groaning Old Well ,40
Rock Saurian(9),38,Groaning Old Well ,40
Skeleton Sorcerer,38,Groaning Old Well ,40
Orc Soldier,44,War Demons' Hideout,45
Orc Banger,45,War Demons' Hideout,45
Orc Battler(3),45,War Demons' Hideout,45
Orc Battler(3),46,War Demons' Hideout,45
Orc Aimer(3),44,War Demons' Hideout,45
Orc Aimer(3),45,War Demons' Hideout,45
Orc Bringer,45,War Demons' Hideout,45
Orc Trooper,45,War Demons' Hideout,45
Grimwarg,45,War Demons' Hideout,45
Captain Orc(2),46,War Demons' Hideout,45
Captain Orc(2),47,War Demons' Hideout,45
Grimwarg - Daytime,45,War Demons' Hideout,45
Bolt Grimwarg - Nighttime,47,War Demons' Hideout,45
Ruby Eye,64,Penitentiary,63
Emerald Eye,64,Penitentiary,63
Lapis Eye,64,Penitentiary,63
Wight,65,Penitentiary,63
Skeleton Mage,65,Penitentiary,63
Shadow Harpy,65,Penitentiary,63
Dark Skeleton Brute,64,Penitentiary,63
Deep Slime(11),63,Penitentiary,63
Deep Slime(11),64,Penitentiary,63
Shadow Chimera,65,Penitentiary,63
Shadow Wolf,67,Penitentiary,63
Eliminator,65,Penitentiary,63
Shadow Goblin Fighter,64,Penitentiary,63
Shadow Goblin Leader,64,Penitentiary,63
Ghost Mail,65,Penitentiary,63
Empress Ghost,67,Penitentiary,63
Blue Newt,38,Temple of Purification,38
Ooze(12),37,Temple of Purification,38
Ooze(12),38,Temple of Purification,38
(Ooze),37,Temple of Purification,38
Chimera,38,Temple of Purification,38
Skeleton Knight(12),38,Temple of Purification,38
Skeleton Knight(12),39,Temple of Purification,38
Skeleton Mage,38,Temple of Purification,38
Skeleton Sorcerer,39,Temple of Purification,38
Worm,35,Temple of Purification,38
Armoured Cyclops,38,Temple of Purification,38
Blue Newt,42,Foul Water Channel ,42
Sword Undead,42,Foul Water Channel ,42
Frosted Corpse Punisher(5),42,Foul Water Channel ,42
Frosted Corpse Punisher(5),43,Foul Water Channel ,42
Worm,39,Foul Water Channel ,42
Ogre,43,Foul Water Channel ,42
Stout Undead,42,Foul Water Channel ,42
Blue Newt,38,North Drainage Channel,?
Ooze,38,North Drainage Channel,?
Glutton Ooze,38,North Drainage Channel,?
Skeleton Knight,40,North Drainage Channel,?
Ooze(7),37,Purified Water Section,?
Ooze(7),39,Purified Water Section,?
(Ooze),37,Purified Water Section,?
Glutton Ooze,40,Purified Water Section,?
Sword Undead(11),38,Purified Water Section,?
Sword Undead(11),40,Purified Water Section,?
Grimwarg - Daytime,38,Purified Water Section,?
Grimwarg - Nighttime,40,Purified Water Section,?
Skeleton,38,Balcony,?
(Skeleton),38,Balcony,?
Skeleton Mage,38,Balcony,?
Skeleton Knight,38,Balcony,?
Skeleton Sorcerer,40,Balcony,?
