Monster,Level,Location,Area Level
Infected Hobgoblin,56, Infected Den, 56
Infected Hobgoblin Fighter,56, Infected Den, 56
Infected Sling Hobgoblin,56, Infected Den, 56
Infected Snow Harpy(13),10, Infected Den, 56
Infected Snow Harpy(13),55, Infected Den, 56
Infected Snow Harpy(13),56, Infected Den, 56
Infected Direwolf,56, Infected Den, 56
,, Infected Den, 56
Infected Snow Harpy,56, Infected Den, 56
Infected Direwolf,56, Infected Den, 56
Infected Gorecyclops,56, Infected Den, 56
Ogre,56, Infected Den, 56
Infected Behemoth,58, Infected Den, 56
Grimwarg,60, Picturesque Grotto [Quest: No Regrets], 60
Infected Orc Soldier,65, Picturesque Grotto [Quest: No Regrets], 60
Aqua Jelly,60, Picturesque Grotto [Quest: No Regrets], 60
Wight,60, Picturesque Grotto [Quest: No Regrets], 60
Gargoyle,60, Picturesque Grotto [Quest: No Regrets], 60
Sulfur Saurian,60, Picturesque Grotto [Quest: No Regrets], 60
Giant Sulfur Saurian,60, Picturesque Grotto [Quest: No Regrets], 60
Saurian Sage,60, Picturesque Grotto [Quest: No Regrets], 60
Giant Saurian Sage,60, Picturesque Grotto [Quest: No Regrets], 60
Infected Behemoth,65, Picturesque Grotto [Quest: No Regrets], 60
Golem,60, Picturesque Grotto [Quest: No Regrets], 60
Infected Behemoth,63, Sunlit Underground Cave, 63
Infected Hobgoblin,63, Sunlit Underground Cave, 63
Infected Hobgoblin Fighter,63, Sunlit Underground Cave, 63
Infected Snow Harpy(9),60, Sunlit Underground Cave, 63
Infected Snow Harpy(9),63, Sunlit Underground Cave, 63
Infected Direwolf,63, Sunlit Underground Cave, 63
Infected Gorecyclops,63, Sunlit Underground Cave, 63
Frosted Skeleton,63, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
Mudman,63, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
Frosted Skeleton,60, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
Frosted Corpse Torturer,62, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
Frosted Skeleton Brute,61, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
Saurian,63, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
Frost Machina,64, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
Freezing Slime,60, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
Wight,55, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
(Frosted Skeleton),60, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
(Frosted Skeleton Brute),60, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
Frost Machina,62, Frigid Ancient Passage [Quest: High Difficulty: The Source of Commotion], 60
Saurian,60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Large Newt,60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Electric Slime,60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Chimera,60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Infected Hobgoblin,60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Infected Hobgoblin Fighter(2),60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Infected Hobgoblin Fighter(2),62, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Infected Sling Hobgoblin(2),60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Infected Sling Hobgoblin(2),63, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
Infected Hobgoblin,60, Cesspool of Filth [Quest: High Difficulty: The Demon's Nest], 60
