Monster,Level,Location,Area Level
Rogue Fighter,14, Seaside Cellar, 14
Rogue Seeker,15, Seaside Cellar, 14
Rogue Hunter,14, Seaside Cellar, 14
Rogue Warrior(2),14, Seaside Cellar, 14
Rogue Warrior(2),15, Seaside Cellar, 14
Saurian(8),11, Lighthouse Old Well, 12
Saurian(8),12, Lighthouse Old Well, 12
Saurian(8),13, Lighthouse Old Well, 12
Giant Saurian(3),12, Lighthouse Old Well, 12
Giant Saurian(3),14, Lighthouse Old Well, 12
Slim,9, Lighthouse Old Well, 12
Worm(3),9, Lighthouse Old Well, 12
Worm(3),10, Lighthouse Old Well, 12
Blue Newt,60, Lighthouse Old Well, 12
Large Newt,60, Lighthouse Old Well, 12
Goblin,15, Beach Underground Stores, 19
Sling Goblin,15, Beach Underground Stores, 19
Ogre,19, Beach Underground Stores, 19
Sling Hobgoblin(3),31, Roaring Tide Cave, 33
Sling Hobgoblin(3),32, Roaring Tide Cave, 33
Hobgoblin Fighter(8),32, Roaring Tide Cave, 33
Hobgoblin Fighter(8),33, Roaring Tide Cave, 33
Mudman(5),32, Roaring Tide Cave, 33
Mudman(5),33, Roaring Tide Cave, 33
Mudman(5),35, Roaring Tide Cave, 33
Blue Newt,34, Roaring Tide Cave, 33
Hobgoblin Leader,35, Roaring Tide Cave, 33
Slim,35, Roaring Tide Cave, 33
Harpy,33, Roaring Tide Cave, 33
Saurian(3),30, Roaring Tide Cave, 33
Saurian(3),34, Roaring Tide Cave, 33
Giant Saurian,35, Roaring Tide Cave, 33
Leech,35, Roaring Tide Cave, 33
Lindwurm,35, Roaring Tide Cave, 33
Blue Newt(6),59, Moltova Ruins, 60
Blue Newt(6),61, Moltova Ruins, 60
Large Newt(4),60, Moltova Ruins, 60
Large Newt(4),61, Moltova Ruins, 60
Large Newt(4),62, Moltova Ruins, 60
Troll,61, Moltova Ruins, 60
Electric Slime(4),60, Moltova Ruins, 60
Electric Slime(4),61, Moltova Ruins, 60
Sword Undead,60, Moltova Ruins, 60
Ogre,59, Moltova Ruins, 60
Blue Newt,60, Moltova Ruins, 60
Lindwurm,65, Moltova Ruins, 60
