Monster,Level,Location,Area Level
Skeleton Knight,43, Divine Blossom Terrace, 43
Skeleton Mage(7),43, Divine Blossom Terrace, 43
Skeleton Mage(7),44, Divine Blossom Terrace, 43
Skeleton Mage(7),45, Divine Blossom Terrace, 43
Grimwarg(10),43, Divine Blossom Terrace, 43
Grimwarg(10),44, Divine Blossom Terrace, 43
Wight ★Daytime,43, Divine Blossom Terrace, 43
(Skeleton Knight) ★Daytime,43, Divine Blossom Terrace, 43
(Skeleton Mage) ★Daytime,43, Divine Blossom Terrace, 43
Witch ★Nighttime,44, Divine Blossom Terrace, 43
(Skeleton Knight) ★Nighttime,43, Divine Blossom Terrace, 43
(Skeleton Mage) ★Nighttime,43, Divine Blossom Terrace, 43
Harpy,43, Divine Blossom Terrace, 43
Sword Undead,43, Divine Blossom Terrace, 43
Wight,43, Divine Blossom Terrace, 43
Armoured Cyclops,43, Divine Blossom Terrace, 43
Cockatrice,43, Divine Blossom Terrace, 43
Grimwarg ★Daytime,44, Divine Blossom Terrace, 43
Wight ★Nighttime,44, Divine Blossom Terrace, 43
Grimwarg,44, Divine Blossom Terrace, 43
Blob,43, Divine Blossom Terrace > Fairy's Withered Well, 0
Slime,43, Divine Blossom Terrace > Fairy's Withered Well, 0
Ooze,43, Divine Blossom Terrace > Fairy's Withered Well, 0
Mudman,41, Forest People's Tunnnel, 41
Slime,40, Forest People's Tunnnel, 41
Troll,41, Forest People's Tunnnel, 41
Ogre,45, Forest People's Tunnnel, 41
Forest Goblin(9),40, Forest People's Tunnnel, 41
Forest Goblin(9),41, Forest People's Tunnnel, 41
Worm,35, Forest People's Tunnnel, 41
Forest Goblin,41, Sunset Terrace, 41
Forest Goblin Fighter,41, Sunset Terrace, 41
Sling Forest Goblin,41, Sunset Terrace, 41
Direwolf,41, Sunset Terrace, 41
White Chimera,43, Sunset Terrace, 41
Harpy(7),40, Sunset Terrace, 41
Harpy(7),42, Sunset Terrace, 41
Dread Ape,41, Sunset Terrace, 41
Troll,42, Sunset Terrace, 41
Harpy,41, Sacred Tree Terrace, 41
Skeleton Knight,41, Sacred Tree Terrace, 41
Skeleton Sorcerer,41, Sacred Tree Terrace, 41
Wight,42, Sacred Tree Terrace, 41
(Skeleton Knight),41, Sacred Tree Terrace, 41
Skeleton Knight,42, Sacred Tree Terrace, 41
Skeleton Sorcerer,43, Sacred Tree Terrace, 41
Harpy,42, Moonlight Terrace, 42
Forest Goblin,42, Moonlight Terrace, 42
Forest Goblin Fighter,42, Moonlight Terrace, 42
Sling Forest Goblin,42, Moonlight Terrace, 42
Cyclops,42, Moonlight Terrace, 42
Silver Roar,42, Moonlight Terrace, 42
Forest Goblin,42, Moonlight Terrace, 42
Sling Forest Goblin,42, Moonlight Terrace, 42
Blue Newt,43, Moonlight Terrace, 42
Large Newt,45, Moonlight Terrace, 42
Forest Goblin,42, Blue Waterway, 43
