Name,Item Rarity,From,Reachable From/Location
Hard Wood,IR3,Logging Spot (X277|Y330),Outside
Rosewood,IR8,Logging Spot (X277|Y330),Outside
Best Steak ,IR1,Chest (X275|Y326),Outside
Goblin Horn ,IR3,Goblin Fighter lvl 25,Outside
Small Horn,IR1,Goblin Fighter lvl 25,Outside
Unrefined Demon Wine,IR4,Hobgoblin Fighter lvl 25,Outside
Harpy Pinion,IR2,Snow Harpy lvl 25,Outside
Harpy Flight Feather ,IR6,Snow Harpy lvl 25,Outside
Blue Flower ,IR7,Herb Spot (X306|Y314),Outside
Wild Herb,IR3,Herb Spot (X306|Y314),Outside
Blue Flower ,IR7,Herb Spot (X310|Y318),Outside
Magick Silt,IR6,Gargoyle lvl 40,Outside
Clear Water,IR2,Water Spot (X324|Y314),Outside
Water Dragon Fang,IR8,Lindwurm lvl 41,Outside
Dragon Beard,IR30,Lindwurm lvl 41,Outside
Blue Flower ,IR7,Herb Spot (X316|Y316),Outside
Wild Herb,IR3,Herb Spot (X316|Y316),Outside
Red Sage,IR6,Herb Spot (X316|Y316),Outside
Strong Lizardscale Pelt,IR6,Sulfur Saurian lvl 30,Outside
Saurian Tail ,IR2,Sulfur Saurian lvl 30,Outside
Saurian Gland,IR6,Sulfur Saurian lvl 30,Outside
Apophyllite,IR4,Sulfur Saurian lvl 30,Outside
Garnet,IR5,Chest (X321|Y310),Outside
Thin Wood,IR1,Logging Spot (X308|Y307),Outside
Pine Wood,IR6,Logging Spot (X308|Y307),Outside
Rosewood,IR8,Logging Spot (X308|Y307),Outside
Marbled Beast Steak,IR7,Wild Boar lvl 10,Outside
Small Fang,IR2,Wild Boar lvl 10,Outside
Mutater Bone Lump,IR7,Chimera lvl 35,Outside
Beast's Mane,IR5,Chimera lvl 35,Outside
Goat Horn,IR8,Chimera lvl 35,Outside
Strong Lizardscale Pelt,IR6,Chimera lvl 35,Outside
Animal Fur,IR1,Wolf lvl 27,Outside
Small Fang,IR2,Wolf lvl 27,Outside
Supple Fur,IR2,Wolf lvl 27,Outside
Insect Venom,IR1,Worm lvl 1,Outside
Monster Gallstone ,IR4,Chest (X341|Y291),Outside
Energy Liquid,IR8,Chest (X346|Y287),Outside
Goat Horn,IR8,Chest (X346|Y287),Outside
Silver Ingot ,IR7,Chest (X348|Y284),Outside
Goat Horn,IR8,Chest (X348|Y284),Outside
Ape Pelt,IR3,Brute Ape lvl 32,Outside
Ape Fur,IR3,Brute Ape lvl 32,Outside
Sharp Claw,IR7,Brute Ape lvl 32,Outside
Thin Wood,IR1,Logging Spot (X333|Y289),Outside
White Wood,IR7,Logging Spot (X333|Y289),Outside
Pine Wood,IR6,Logging Spot (X333|Y289),Outside
Red Sage,IR6,Herb Spot (X334|Y295),Outside
Baby Herb,IR1,Herb Spot (X334|Y295),Outside
Blue Flower ,IR7,Herb Spot (X334|Y295),Outside
Wild Herb,IR3,Herb Spot (X334|Y295),Outside
Wild Herb,IR3,Herb Spot (X316|Y296),Outside
Thin Wood,IR1,Logging Spot (X312|Y289),Outside
Crooked Fang,IR4,Dread Ape lvl 29,Outside
Large Simian Thick Pelt,IR4,Dread Ape lvl 29,Outside
Wild Herb,IR3,Herb Spot (X303|Y284),Outside
Red Sage,IR6,Herb Spot (X303|Y284),Outside
Soft Soil,IR80,Herb Spot (X303|Y284),Outside
Yellow Thyme ,IR5,Herb Spot (X307|Y293),Outside
Red Sage,IR6,Herb Spot (X307|Y293),Outside
Lindwurm Fin,IR8,Crate (X302|Y290),Outside
Wild Herb,IR3,Herb Spot (X308|Y281),Outside
Soft Soil,IR80,Herb Spot (X308|Y281),Outside
Lestania Herb,IR2,Herb Spot (X308|Y281),Outside
Thin Wood,IR1,Logging Spot (X317|Y276),Outside
Rosewood,IR8,Logging Spot (X317|Y276),Outside
Yellow Thyme ,IR5,Herb Spot (X314|Y274),Outside
Wild Herb,IR3,Herb Spot (X351|Y300),Outside
Blue Flower ,IR7,Herb Spot (X351|Y300),Outside
Thin Wood,IR1,Logging Spot (X355|Y303),Outside
White Wood,IR7,Logging Spot (X355|Y303),Outside
Rosewood,IR8,Logging Spot (X355|Y303),Outside
Dowe Medal,IR8,Chest (X357|Y294),Outside
White Wood,IR7,Logging Spot (X336|Y322),Outside
Clear Insect Wing,IR1,Killer Bee lvl 10,Outside
Insect Venom,IR1,Killer Bee lvl 10,Outside
Animal Fur,IR1,Wolf lvl 25,Outside
Small Fang,IR2,Wolf lvl 25,Outside
Supple Fur,IR2,Wolf lvl 25,Outside
Wild Herb,IR3,Herb Spot (X331|Y339),Outside
Red Sage,IR6,Herb Spot (X331|Y339),Outside
Goblin Horn ,IR3,Hobgoblin Leader lvl 33,Dreed Castle lvl 35 (X310|Y326)
Broken Dagger ,IR7,Hobgoblin Fighter lvl 32,Dreed Castle lvl 35 (X310|Y326)
Small Horn,IR1,Goblin Fighter lvl 31,Dreed Castle lvl 35 (X310|Y326)
Sharp Claw,IR7,Sliver Roar lvl 40,Dreed Castle lvl 35 (X310|Y326)
Silver Bristle,IR9,Sliver Roar lvl 40,Dreed Castle lvl 35 (X310|Y326)
Orge Claw,IR6,Orge lvl 43,Dreed Castle lvl 35 (X310|Y326)
Necrophagous Bristle,IR7,Orge lvl 43,Dreed Castle lvl 35 (X310|Y326)
Unrefined Demon Wine,IR4,Hobgoblin Fighter lvl 32,Dreed Castle lvl 35 (X310|Y326)
Magick Medal,IR7,Golem lvl 37,Dreed Castle lvl 35 (X310|Y326)
Demon Thread,IR7,Chest (X53|Y123) ,Dreed Castle lvl 35 (X310|Y326)
Harpy Pinion,IR2,Harpy lvl 32,Dreed Castle lvl 35 (X310|Y326)
Harpy Flight Feather ,IR6,Harpy lvl 32,Dreed Castle lvl 35 (X310|Y326)
Bird Feather,IR1,Harpy lvl 32,Dreed Castle lvl 35 (X310|Y326)
White Wood ,IR7,Chest (X53|Y111),Dreed Castle lvl 35 (X310|Y326)
Sequoia Wood,IR8,Chest (X53|Y111),Dreed Castle lvl 35 (X310|Y326)
White Wood ,IR7,Chest (X48|Y101,Dreed Castle lvl 35 (X310|Y326)
Sequoia Wood,IR8,Chest (X48|Y101,Dreed Castle lvl 35 (X310|Y326)
Mandragora Mushroom,IR85,Mushroom Spot (X45|Y73),Dreed Castle lvl 35 (X310|Y326)
Lizardscale Pelt,IR2,Saurian lvl 30,Dreed Castle lvl 35 (X310|Y326)
Saurian Tail ,IR2,Saurian lvl 30,Dreed Castle lvl 35 (X310|Y326)
Apophyllite,IR4,Saurian lvl 30,Dreed Castle lvl 35 (X310|Y326)
Lizardscale Pelt,IR2,Giant Saurian lvl 35,Dreed Castle lvl 35 (X310|Y326)
Saurian Tail ,IR2,Giant Saurian lvl 35,Dreed Castle lvl 35 (X310|Y326)
Apophyllite,IR4,Giant Saurian lvl 35,Dreed Castle lvl 35 (X310|Y326)
Copper Ore,IR2,Skeleton lvl 38,Abandoned Underground Passage lvl 38 (X41|Y78
Dry Bone,IR2,Skeleton lvl 38,Abandoned Underground Passage lvl 38 (X41|Y78
Fine Bleached Bone,IR3,Skeleton lvl 38,Abandoned Underground Passage lvl 38 (X41|Y78
Phantom ore,IR7,Living Armor lvl 39,Abandoned Underground Passage lvl 38 (X41|Y78
Demon Arming Points,IR11,Living Armor lvl 39,Abandoned Underground Passage lvl 38 (X41|Y78
Baby Herb,IR1,Herb Spot (X39|Y-46),Abandoned Underground Passage lvl 38 (X41|Y78
Bluecurrant,IR8,Herb Spot (X39|Y-46),Abandoned Underground Passage lvl 38 (X41|Y78
Blue Flower,IR7,Herb Spot (X50|Y-46),Abandoned Underground Passage lvl 38 (X41|Y78
Magick Tinged Bone,IR5,Skeleton Mage lvl 37,Abandoned Underground Passage lvl 38 (X41|Y78
Blank Scroll,IR2,Skeleton Mage lvl 37,Abandoned Underground Passage lvl 38 (X41|Y78
Rusted Plate ,IR6,Skeleton Warrior lvl 39,Abandoned Underground Passage lvl 38 (X41|Y78
Iron Ore Fragment,IR3,Skeleton Fighter lvl 40,Abandoned Underground Passage lvl 38 (X41|Y78
Phantom ore,IR7,Chest (X66|Y-64),Abandoned Underground Passage lvl 38 (X41|Y78
Dry Bone,IR2,Skeleton Warg lvl 35,Abandoned Underground Passage lvl 38 (X41|Y78
Phantom ore,IR7,Chest (X52|Y-83),Abandoned Underground Passage lvl 38 (X41|Y78
Blue Flower,IR7,Herb Spot (39|-105),Abandoned Underground Passage lvl 38 (X41|Y78
Bluecurrant,IR8,Herb Spot (39|-105),Abandoned Underground Passage lvl 38 (X41|Y78
Wild Herb,IR3,Herb Spot (39|-105),Abandoned Underground Passage lvl 38 (X41|Y78
Undead Carrion ,IR1,Stout Undead lvl 38,Abandoned Underground Passage lvl 38 (X41|Y78
Rotten Lump,IR3,Stout Undead lvl 38,Abandoned Underground Passage lvl 38 (X41|Y78
Undead Extract,IR6,Stout Undead lvl 38,Abandoned Underground Passage lvl 38 (X41|Y78
Bluecurrant,IR8,Herb Spot (X39.Y-128),Abandoned Underground Passage lvl 38 (X41|Y78
Blue Flower,IR7,Herb Spot (X39.Y-128),Abandoned Underground Passage lvl 38 (X41|Y78
Phantom ore,IR7,Ghost lvl 38,Abandoned Underground Passage lvl 38 (X41|Y78
Cursed Letter,IR85,Ghost lvl 38,Abandoned Underground Passage lvl 38 (X41|Y78
Phantom ore,IR7,Chest (X52|Y-192),Abandoned Underground Passage lvl 38 (X41|Y78
Burial Shroud,IR2,Undead lvl 39,Abandoned Underground Passage lvl 38 (X41|Y78
Mandragora Mushroom,IR85,Mushroom Spot (X52|Y-224),Abandoned Underground Passage lvl 38 (X41|Y78
Clear Spring Water,IR3,Water Spot (X41|Y-224),Abandoned Underground Passage lvl 38 (X41|Y78
Animal Fur,IR1,Wolf lvl 38,Catacombs lvl 38 (X319|Y321)
Small Fang,IR2,Wolf lvl 38,Catacombs lvl 38 (X319|Y321)
Supple Fur,IR2,Wolf lvl 38,Catacombs lvl 38 (X319|Y321)
Demon Walf's Sinewy Meat,IR45,Warg lvl 39,Catacombs lvl 38 (X319|Y321)
Ogre Claw,IR6,Ogre lvl 40,Catacombs lvl 38 (X319|Y321)
Ogre Fur,IR6,Ogre lvl 40,Catacombs lvl 38 (X319|Y321)
Necrophagous Bristle,IR7,Ogre lvl 40,Catacombs lvl 38 (X319|Y321)
Goblin Horn ,IR3,Hobgoblin lvl 39,Catacombs lvl 38 (X319|Y321)
Small Horn,IR1,Hobgoblin lvl 39,Catacombs lvl 38 (X319|Y321)
Unrefined Demon Wine,IR4,Hobgoblin lvl 39,Catacombs lvl 38 (X319|Y321)
Giant Fur,IR4,Troll lvl 42,Catacombs lvl 38 (X319|Y321)
Troll's Poisonous Moss,IR4,Troll lvl 42,Catacombs lvl 38 (X319|Y321)
Giant's Horn,IR7,Troll lvl 42,Catacombs lvl 38 (X319|Y321)
Iron Thread ,IR6,Chest (X42|Y-77,Catacombs lvl 38 (X319|Y321)
Lapis Lazuli,IR8,Chest (X42|Y-77,Catacombs lvl 38 (X319|Y321)
Broken Dagger,IR7,Hobgoblin lvl 39,Catacombs lvl 38 (X319|Y321)
Silver Ore,IR7,Small Chest (X59|Y-78),Catacombs lvl 38 (X319|Y321)
Marbled Beast Steak,IR7,Eliminator lvl 41,Catacombs lvl 38 (X319|Y321)
Iron Thread ,IR6,Chest (X51|Y-99),Catacombs lvl 38 (X319|Y321)
Bloodied Giant Tusk,IR45,Gorecyclops lvl 43,Catacombs lvl 38 (X319|Y321)
Silver Ore,IR7,Chest (X34|Y-120),Catacombs lvl 38 (X319|Y321)
Goblin Horn ,IR3,Hobgoblin lvl 35,Dreed Waterway Ruins lvl 35 (X324|Y308)
Small Horn,IR1,Goblin lvl 32,Dreed Waterway Ruins lvl 35 (X324|Y308)
Unrefined Demon Wine,IR4,Hobgoblin lvl 35,Dreed Waterway Ruins lvl 35 (X324|Y308)
Broken Dagger,IR7,Hobgoblin lvl 35,Dreed Waterway Ruins lvl 35 (X324|Y308)
Large Beast Steak,IR5,Create (X65|Y-29),Dreed Waterway Ruins lvl 35 (X324|Y308)
Hematite Sand ,IR4,Chest (X50|Y-36),Dreed Waterway Ruins lvl 35 (X324|Y308)
High Quality Gala Mushroom,IR7,Chest (X50|Y-36),Dreed Waterway Ruins lvl 35 (X324|Y308)
Ogre Claw,IR6,Ogre lvl 38,Dreed Waterway Ruins lvl 35 (X324|Y308)
Necrophagous Bristle,IR7,Ogre lvl 38,Dreed Waterway Ruins lvl 35 (X324|Y308)
Insect Venom ,IR1,Worm lvl 1,Dreed Waterway Ruins lvl 35 (X324|Y308)
Stagnant Water,IR5,Water Spot (X50|Y-63),Dreed Waterway Ruins lvl 35 (X324|Y308)
Hematite Sand ,IR4,Chest (X47|Y-65),Dreed Waterway Ruins lvl 35 (X324|Y308)
Iron Ore ,IR4,Rock Saurian lvl 68,Forsaken Well lvl 68 (X324|Y325)
Rock Scale ,IR6,Rock Saurian lvl 68,Forsaken Well lvl 68 (X324|Y325)
Superior Saurian Tail,IR6,Rock Saurian lvl 68,Forsaken Well lvl 68 (X324|Y325)
Magickal Potion/**Fluttering Rags (RARE),IR9,Medusa lvl 74,Forsaken Well lvl 68 (X324|Y325)
Medusa's Serpent Hair ,IR35,Medusa lvl 74,Forsaken Well lvl 68 (X324|Y325)
Cursed Letter ,IR85,Medusa lvl 74,Forsaken Well lvl 68 (X324|Y325)
Magick Slit,IR6,Gargoyle lvl 69,Forsaken Well lvl 68 (X324|Y325)
Viscous Meat,IR35,Chest (X44|Y-83),Forsaken Well lvl 68 (X324|Y325)
Gleipnir,IR10,Chest (X44|Y-83),Forsaken Well lvl 68 (X324|Y325)
Giant Single Pelt (Dangerous Area (Key of Jewelry),RARE, Armored Cyclops (lv75),Forsaken Well lvl 68 (X324|Y325)
Apohyllite,IR4,Blue Newt lvl 35,Dreed Castle >>> Underground Side Entrance (X36|Y101)
Superior Saurian Tail,IR6,Blue Newt lvl 35,Dreed Castle >>> Underground Side Entrance (X36|Y101)
Blue Alluvial Gold ,IR6,Blue Newt lvl 35,Dreed Castle >>> Underground Side Entrance (X36|Y101)
Orge Claw,IR6,Orge lvl 45,Dreed Castle >>> Underground Side Entrance (X36|Y101)
Orge Fur,IR6,Orge lvl 45,Dreed Castle >>> Underground Side Entrance (X36|Y101)
Saurian Gland ,IR6,Saurian Sage lvl 66,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage lvl 62 (X62|Y-58)
Orge Claw,IR6,Orge lv 70,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage lvl 62 (X62|Y-58)
Necrophagous Bristle,IR7,Orge lv 70,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage lvl 62 (X62|Y-58)
Orge Fur,IR6,Orge lv 70,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage lvl 62 (X62|Y-58)
Witch's Grimoire,IR11,Empress Ghost lvl 70,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage lvl 62 (X62|Y-58)
Dark Crystal Dragon Necklace,?,TBA,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage lvl 62 (X62|Y-58)
Stagnant Water,?,TBA,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage lvl 62 (X62|Y-58)
Strong Lizard Scale Pelt,IR6,Giant Geo Saurian lvl 63,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Giant Apophyllite,?,Giant Geo Saurian lvl 63,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Saurian Gland,IR6,Giant Geo Saurian lvl 63,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Apophyllite,IR4,Giant Geo Saurian lvl 63,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Lava Rock,IR8,Giant Geo Saurian lvl 63,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Strong Lizard Scale Pelt,IR6,Giant Saurian Sage lvl 63,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Saurian Gland,IR6,Giant Saurian Sage lvl 63,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Apophyllite,IR4,Giant Saurian Sage lvl 63,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Lava Rock,IR8,Giant Saurian Sage lvl 63,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Saurian Gland,IR6,Geo Saurian lvl 62,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Saurian Tail,IR2,Geo Saurian lvl 62,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Saurian Gland,IR6,Geo Saurian Sage lvl 62,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Saurian Tail,IR2,Geo Saurian Sage lvl 62,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Lava Rock,IR8,Geo Saurian Sage lvl 62,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Emerald,IR9,Emerald Eye lvl 65,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Peridot,IR4,Emerald Eye lvl 65,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Eye Gem,IR10,Emerald Eye lvl 65,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Ruby,IR8,Ruby Eye lvl 65,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Eye Gem,IR10,Ruby Eye lvl 65,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Lapis Lazuli,IR8,Lapis Eye lvl 65,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Eye Gem,IR10,Lapis Eye lvl 65,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Lava Rock,IR8,Geo Golem lvl 67,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
Magick Medal ,IR7,Geo Golem lvl 67,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
High Quality Magick Medal,IR10,Geo Golem lvl 67,Dreed Castle >>> Underground Side Entrance >>> Dreed Connecting Passage >>> Knights' Depot Ruins lvl 62 (X276|Y325)
