Monster,Level,Location,Area Level
Warg,70, Path to Morrow, 70
Mole Troll,70, Path to Morrow, 70
Warg,70, Dancing Rainbow Cave, 70
Maneater,70, Dancing Rainbow Cave, 70
Lapis Eye,70, Dancing Rainbow Cave, 70
Foot-Biter(6),71, Dancing Rainbow Cave, 70
Foot-Biter(6),75, Dancing Rainbow Cave, 70
Little Spine(4),70, Dancing Rainbow Cave, 70
Little Spine(4),72, Dancing Rainbow Cave, 70
Spineback ★Daytime,74, Dancing Rainbow Cave, 70
Sulfur Saurian ★Nighttime,73, Dancing Rainbow Cave, 70
Giant Sulfur Saurian ★Nighttime,73, Dancing Rainbow Cave, 70
 Rage Ghost ★Nighttime,73, Dancing Rainbow Cave, 70
Ghost Mail ★Nighttime,70, Dancing Rainbow Cave, 70
Wight ★Nighttime,75, Dancing Rainbow Cave, 70
Saurian Sage,75, Wisteria Arbor Withering Well, 73
Giant Saurian Sage,75, Wisteria Arbor Withering Well, 73
Green Guardian,75, Wisteria Arbor Withering Well, 73
Spineback,75, Wisteria Arbor Withering Well, 73
White Griffin,75, Wisteria Arbor Withering Well, 73
Warg,75, Jungle Limestone Caves, 75
Sulfur Saurian,75, Jungle Limestone Caves, 75
Giant Sulfur Saurian,75, Jungle Limestone Caves, 75
Stymphalídes,75, Jungle Limestone Caves, 75
Silver Roar,75, Jungle Limestone Caves, 75
White Griffin,75, Jungle Limestone Caves, 75
Little Spine,75, Old Ferryman's Haunt, 75
Green Guardian,75, Old Ferryman's Haunt, 75
Saurian Sage,75, Old Ferryman's Haunt, 75
Giant Saurian Sage,75, Old Ferryman's Haunt, 75
Spineback,75, Old Ferryman's Haunt, 75
White Griffin,75, Old Ferryman's Haunt, 75
Stymphalídes,78, Elan Quarry Cave, 78
Saurian Sage,78, Elan Quarry Cave, 78
Giant Saurian Sage(4),78, Elan Quarry Cave, 78
Giant Saurian Sage(4),79, Elan Quarry Cave, 78
Little Spine,78, Elan Quarry Cave, 78
Warg,78, Elan Quarry Cave, 78
White Chimera,78, Elan Quarry Cave, 78
Bifrest,78, Elan Quarry Cave, 78
