Monster,Level,Location,Area Level
Saurian,68, Dunhain's Hall of Trials, 68
Giant Saurian,68, Dunhain's Hall of Trials, 68
Freezing Slime,68, Dunhain's Hall of Trials, 68
Stymphalídes,68, Dunhain's Hall of Trials, 68
Pixie,68, Danandell Cave, 68
Pixie Jabber,68, Danandell Cave, 68
Blue Newt,70, Danandell Cave, 68
Large Newt,70, Danandell Cave, 68
Pixie Pow,70, Danandell Cave, 68
Pixie Jabber,70, Danandell Cave, 68
(Maneater),68, Danandell Cave, 68
Pixie Din(2),38, Danandell Cave, 68
Pixie Din(2),68, Danandell Cave, 68
Pixie Biff,69, Danandell Cave, 68
Strix,68, Danandell Cave, 68
Pixie Pow,68, Danandell Cave, 68
Gorecyclops,69, Danandell Cave, 68
Bolt Grimwarg,70, Farana Ruins, 70
Skeleton Mage,70, Farana Ruins, 70
Dark Skeleton,70, Farana Ruins, 70
Dark Corpse Torturer,70, Farana Ruins, 70
Dark Corpse Punisher,70, Farana Ruins, 70
Medusa,69, Farana Ruins, 70
Maneater,70, Farana Ruins, 70
Ghoul,70, Farana Ruins, 70
Ghost Mail ,73, Magusas Ancient Watercourse, 73
Living Armour,73, Magusas Ancient Watercourse, 73
Frosted Skeleton,73, Magusas Ancient Watercourse, 73
Skeleton Mage,73, Magusas Ancient Watercourse, 73
Bolt Skeleton,73, Magusas Ancient Watercourse, 73
Bolt Skeleton Brute,73, Magusas Ancient Watercourse, 73
Bolt Corpse Punisher,73, Magusas Ancient Watercourse, 73
Bolt Corpse Torturer,73, Magusas Ancient Watercourse, 73
Freezing Slime,70, Magusas Ancient Watercourse, 73
Aqua Jelly,70, Magusas Ancient Watercourse, 73
Acid Blob,70, Magusas Ancient Watercourse, 73
Maneater,73, Magusas Ancient Watercourse > Hidden Passage, 0
Witch,73, Magusas Ancient Watercourse > Hidden Passage, 0
Wyrm,73, Magusas Ancient Watercourse > Hidden Passage, 0
Grigori,75, Vegasa Corridor, 75
Severely Infected Pixie,75, Vegasa Corridor, 75
Severely Infected Gorecyclops,75, Vegasa Corridor, 75
Siren,75, Vegasa Corridor, 75
High Pixie Biff,75, Vegasa Corridor, 75
High Pixie Pow,75, Vegasa Corridor, 75
Severely Infected Stymphalídes,75, Vegasa Corridor > Left Passage(→Morrow Forest), 0
High Pixie Biff,75, Vegasa Corridor > Left Passage(→Morrow Forest), 0
High Pixie Pow,75, Vegasa Corridor > Left Passage(→Morrow Forest), 0
Grigori,75, Vegasa Corridor > Right Passage(→Kingal Canyon), 0
Severely Infected Pixie,75, Vegasa Corridor > Right Passage(→Kingal Canyon), 0
High Pixie Pow,75, Vegasa Corridor > Right Passage(→Kingal Canyon), 0
Grigori,75, Vegasa Corridor > Center Passage, 0
Severely Infected Pixie,75, Vegasa Corridor > Center Passage, 0
High Pixie Pow,75, Vegasa Corridor > Center Passage, 0
Frosted Skeleton,75, Thalati Waterway, 75
Frosted Skeleton Brute,75, Thalati Waterway, 75
Saurian Sage,78, Sacred River Ruins, 78
Giant Saurian Sage,78, Sacred River Ruins, 78
Large Newt,78, Sacred River Ruins, 78
Lux Skeleton,78, Sacred River Ruins, 78
Lux Skeleton Brute,78, Sacred River Ruins, 78
Lux Corpse Punisher,78, Sacred River Ruins, 78
Witch,79, Sacred River Ruins, 78
Dark Skeleton,78, Sacred River Ruins, 78
Dark Corpse Punisher,78, Sacred River Ruins, 78
Dark Corpse Torturer,78, Sacred River Ruins, 78
Gorechimera,80, Sacred River Ruins, 78
Strix,80, Small Tower of Wisdom, 80
Pixie,80, Small Tower of Wisdom, 80
Pixie Biff,80, Small Tower of Wisdom, 80
Pixie Jabber,80, Small Tower of Wisdom, 80
Pixie Din,80, Small Tower of Wisdom, 80
High Pixie Pow(4),80, Small Tower of Wisdom, 80
High Pixie Pow(4),81, Small Tower of Wisdom, 80
High Pixie Pow(4),82, Small Tower of Wisdom, 80
High Pixie Zolda(4),80, Small Tower of Wisdom, 80
High Pixie Zolda(4),81, Small Tower of Wisdom, 80
High Pixie Biff,80, Small Tower of Wisdom, 80
Worm,80, Small Tower of Wisdom, 80
Gorecyclops,80, Small Tower of Wisdom, 80
Pixie King,83, Small Tower of Wisdom, 80
