Monster,Level,Location,Area Level
Undead(33),12, Hidell Catacombs, 13
Undead(33),13, Hidell Catacombs, 13
Warrior Undead,13, Hidell Catacombs, 13
Stout Undead(6),12, Hidell Catacombs, 13
Stout Undead(6),13, Hidell Catacombs, 13
Chimera,13, Hidell Catacombs, 13
Skeleton Sorcerer(4),13, Hidell Catacombs, 13
Skeleton Sorcerer(4),15, Hidell Catacombs, 13
Skeleton Knight(7),12, Hidell Catacombs, 13
Skeleton Knight(7),13, Hidell Catacombs, 13
Skeleton Knight(7),14, Hidell Catacombs, 13
Skeleton Warrior(2),12, Hidell Catacombs, 13
Skeleton Warrior(2),14, Hidell Catacombs, 13
Skeleton Mage,13, Hidell Catacombs, 13
Brute Ape,14, Hidell Catacombs, 13
Ogre,15, Hidell Catacombs, 13
Skeleton,13, Hidell Catacombs, 13
Dread Ape,15, Hidell Catacombs, 13
Skeleton Brute,15, Hidell Catacombs, 13
Sword Undead,14, Hidell Catacombs, 13
Wight,15, Hidell Catacombs, 13
Skeleton Cyclops,18, Hidell Catacombs, 13
Sword Undead,28, Hidell Catacomb Depths, 28
Warrior Undead,29, Hidell Catacomb Depths, 28
Skeleton Knight(8),28, Hidell Catacomb Depths, 28
Skeleton Knight(8),30, Hidell Catacomb Depths, 28
Skeleton Knight(8),31, Hidell Catacomb Depths, 28
Skeleton Mage(2),28, Hidell Catacomb Depths, 28
Skeleton Mage(2),30, Hidell Catacomb Depths, 28
Mudman,28, Hidell Catacomb Depths, 28
Skeleton Brute,31, Hidell Catacomb Depths, 28
Worm,25, Hidell Catacomb Depths, 28
Grimwarg(10),29, Hidell Catacomb Depths, 28
Grimwarg(10),30, Hidell Catacomb Depths, 28
Grimwarg(10),31, Hidell Catacomb Depths, 28
Eliminator,32, Hidell Catacomb Depths, 28
Skeleton Warrior,30, Hidell Catacomb Depths, 28
Undead,28, Hidell Catacomb Depths, 28
Ogre,33, Hidell Catacomb Depths, 28
Brute Ape,15, Plains Abandoned House Cellar, 14
Goblin,14, Plains Abandoned House Cellar, 14
Shield Goblin,14, Plains Abandoned House Cellar, 14
Sling Goblin,14, Plains Abandoned House Cellar, 14
Goblin Fighter,14, Plains Abandoned House Cellar, 14
Goblin Leader,16, Plains Abandoned House Cellar, 14
Sling Grimm Goblin(2),10, Plains Abandoned House Cellar, 14
Sling Grimm Goblin(2),14, Plains Abandoned House Cellar, 14
Ooze(16),31, Hidell Catacomb Innermost Depths, 30
Ooze(16),33, Hidell Catacomb Innermost Depths, 30
Rock Saurian(9),33, Hidell Catacomb Innermost Depths, 30
Rock Saurian(9),34, Hidell Catacomb Innermost Depths, 30
Eliminator Slay,31, Hidell Catacomb Innermost Depths, 30
Warrior Undead,31, Hidell Catacomb Innermost Depths, 30
Sword Undead,31, Hidell Catacomb Innermost Depths, 30
Skeleton Mage(6),33, Hidell Catacomb Innermost Depths, 30
Skeleton Mage(6),35, Hidell Catacomb Innermost Depths, 30
Skeleton Sorcerer,33, Hidell Catacomb Innermost Depths, 30
Living Armour,40, Hidell Catacomb Innermost Depths, 30
Grimwarg,35, Hidell Catacomb Innermost Depths, 30
Worm,30, Hidell Catacomb Innermost Depths, 30
Skeleton Warrior,34, Hidell Catacomb Innermost Depths, 30
Wight ★Daytime,38, Hidell Catacomb Innermost Depths, 30
(Skeleton Knight) ★Daytime,33, Hidell Catacomb Innermost Depths, 30
Death Knight ★Nighttime,38, Hidell Catacomb Innermost Depths, 30
Goblin,4, Abandoned House Cellar, 4
Goblin Fighter,4, Abandoned House Cellar, 4
Goblin Leader,4, Abandoned House Cellar, 4
Undead,18, Blocked Passage, 18
Stout Undead(7),17, Blocked Passage, 18
Stout Undead(7),18, Blocked Passage, 18
Stout Undead(7),19, Blocked Passage, 18
Sling Goblin(5),17, Blocked Passage, 18
Sling Goblin(5),18, Blocked Passage, 18
Sling Goblin(5),20, Blocked Passage, 18
Goblin Fighter,18, Blocked Passage, 18
Goblin Leader,20, Blocked Passage, 18
Sling Hobgoblin,18, Blocked Passage, 18
Hobgoblin Fighter,20, Blocked Passage, 18
Chimera,20, Blocked Passage, 18
Slim(7),17, Blocked Passage, 18
Slim(7),18, Blocked Passage, 18
Slim(7),19, Blocked Passage, 18
Harpy(4),15, Blocked Passage, 18
Harpy(4),18, Blocked Passage, 18
Worm,18, Blocked Passage, 18
Goblin,18, Blocked Passage, 18
Shield Goblin,18, Blocked Passage, 18
Cyclops,18, Blocked Passage, 18
Slime(7),3, Tel's Withered Well, 5
Slime(7),4, Tel's Withered Well, 5
Deep Slime(4),5, Tel's Withered Well, 5
Deep Slime(4),6, Tel's Withered Well, 5
Deep Slime(4),10, Tel's Withered Well, 5
Orc Soldier,12, Abandoned Well on Hidell Road, 6
Wolf,5, Hunters' Secret Passage, 5
Rogue Fighter(3),5, Hunters' Secret Passage, 5
Rogue Fighter(3),6, Hunters' Secret Passage, 5
Rogue Hunter,5, Hunters' Secret Passage, 5
Rogue Healer,6, Hunters' Secret Passage, 5
Undead(17),10, Small Cave Tombs, 10
Undead(17),11, Small Cave Tombs, 10
Chimera,12, Small Cave Tombs, 10
Stout Undead(6),10, Small Cave Tombs, 10
Stout Undead(6),12, Small Cave Tombs, 10
Witch,10, Small Cave Tombs, 10
Skeleton Knight,10, Small Cave Tombs, 10
Skeleton Mage,10, Small Cave Tombs, 10
Skeleton Sorcerer,10, Small Cave Tombs, 10
Skeleton,15, The Ark, 16
Skeleton Sorcerer(6),15, The Ark, 16
Skeleton Sorcerer(6),16, The Ark, 16
Alchemised Goblin(7),15, The Ark, 16
Alchemised Goblin(7),16, The Ark, 16
Alchemised Goblin Fighter,16, The Ark, 16
Alchemised Sling Goblin,15, The Ark, 16
Alchemised Skeleton(4),16, The Ark, 16
Alchemised Skeleton(4),17, The Ark, 16
Skeleton Knight,15, The Ark, 16
Ooze,15, The Ark, 16
Alchemised Wolf,57, The Ark's Lower Level, 57
Alchemised Goblin Fighter,57, The Ark's Lower Level, 57
Alchemised Harpy,60, The Ark's Lower Level, 57
Alchemised Skeleton,60, The Ark's Lower Level, 57
Goliath,60, The Ark's Lower Level, 57
Alchemised Sling Goblin,57, The Ark's Lower Level > Storage, 0
Alchemised Goblin Fighter,57, The Ark's Lower Level > Storage, 0
Alchemised Harpy,55, The Ark's Lower Level > Storage, 0
Goliath,62, The Ark's Lower Level > Storage, 0
Alchemised Skeleton,60, The Ark's Lower Level > Treasury, 0
Alchemy Eye,60, The Ark's Lower Level > Treasury, 0
Alchemised Griffin,62, The Ark's Lower Level > Treasury, 0
Skeleton Mage,50, The Third Ark, 50
Skeleton Sorcerer,50, The Third Ark, 50
Alchemised Wolf,50, The Third Ark, 50
Blob,50, The Third Ark, 50
Alchemised Skeleton,50, The Third Ark, 50
Alchemised Goblin Fighter,50, The Third Ark, 50
Alchemised Sling Goblin,50, The Third Ark, 50
Alchemised Goblin,50, The Third Ark, 50
Goliath,50, The Third Ark, 50
