Monster,Level,Location,Area Level
Shadow Goblin Fighter,70, Nebula Temple, 70
Shadow Goblin,70, Nebula Temple, 70
Shadow Harpy,70, Nebula Temple, 70
Shadow Wolf,70, Nebula Temple, 70
Grigori,70, Nebula Temple, 70
Bearded Grigori,70, Nebula Temple, 70
Gargoyle,70, Nebula Temple, 70
Gargoyle,70, Nebula Temple, 70
Gorecyclops,70, Nebula Temple, 70
Manticore,70, Nebula Temple, 70
Shadow Harpy,73, Grinmel Ruins, 73
Shadow Wolf,73, Grinmel Ruins, 73
Grimwarg,73, Grinmel Ruins, 73
Bearded Grigori,73, Grinmel Ruins, 73
Enflamed Corpse Punisher,73, Grinmel Ruins, 73
Empress Ghost,73, Grinmel Ruins, 73
Gargoyle,73, Grinmel Ruins, 73
Medusa,73, Grinmel Ruins, 73
Manticore,73, Grinmel Ruins, 73
(Maneater),73, Grinmel Ruins, 73
Drake,73, Grinmel Ruins, 73
Siren,75, Amburos Great Ruins, 75
High Pixie Biff,75, Amburos Great Ruins, 75
Pixie Jabber,75, Amburos Great Ruins, 75
Oil Jelly,75, Amburos Great Ruins, 75
Witch,75, Amburos Great Ruins, 75
Eliminator Slay,75, Amburos Great Ruins, 75
Gigant Machina,75, Amburos Great Ruins, 75
Grigori,75, Shadolean Great Temple > Left side, 0
Bearded Grigori,75, Shadolean Great Temple > Left side, 0
Shadow Harpy,75, Shadolean Great Temple > Left side, 0
Shadow Wolf,75, Shadolean Great Temple > Left side, 0
Gorechimera,73, Shadolean Great Temple > Left side, 0
Gargoyle,75, Shadolean Great Temple > Right side, 0
Rock Saurian,75, Shadolean Great Temple > Right side, 0
Rock Saurian Spinel,75, Shadolean Great Temple > Right side, 0
Grimwarg,75, Shadolean Great Temple > Right side, 0
Gorecyclops,73, Shadolean Great Temple > Right side, 0
Gargoyle,75, Shadolean Great Temple > Right side, 0
Grigori,76, Shadolean Great Temple > Right side, 0
Bearded Grigori,76, Shadolean Great Temple > Right side, 0
Behemoth,75, Shadolean Great Temple > Right side, 0
High Pixie Biff,78, Hadin Underground Old Road, 78
High Pixie Zolda,78, Hadin Underground Old Road, 78
High Pixie Pow,78, Hadin Underground Old Road, 78
Severely Infected Pixie(4),78, Hadin Underground Old Road, 78
Severely Infected Pixie(4),79, Hadin Underground Old Road, 78
Severely Infected Demon,80, Hadin Underground Old Road, 78
(Maneater),78, Hadin Underground Old Road, 78
Ghost(8),78, Hadin Underground Old Road, 78
Ghost(8),79, Hadin Underground Old Road, 78
Grigori(4),78, Hadin Underground Old Road, 78
Grigori(4),79, Hadin Underground Old Road, 78
Skeleton Brute,80, Hadin Underground Old Road, 78
Skeleton Knight(5),78, Hadin Underground Old Road, 78
Skeleton Knight(5),79, Hadin Underground Old Road, 78
(Empress Ghost),80, Hadin Underground Old Road, 78
Pixie Pow,80, Hadin Underground Old Road, 78
Pixie Biff,80, Hadin Underground Old Road, 78
Pixie Jabber,80, Hadin Underground Old Road, 78
(Pixie King),83, Hadin Underground Old Road, 78
Manticore,79, Hadin Underground Old Road, 78
Infected Sling Hobgoblin,80, Ancient Underground Shrine, 80
Infected Hobgoblin Fighter,80, Ancient Underground Shrine, 80
Infected Snow Harpy,80, Ancient Underground Shrine, 80
Eliminator,80, Ancient Underground Shrine, 80
Eliminator Slay,80, Ancient Underground Shrine, 80
Maneater,80, Ancient Underground Shrine, 80
Severely Infected Warg,80, Ancient Underground Shrine, 80
Severely Infected Pixie,80, Ancient Underground Shrine, 80
Siren,80, Ancient Underground Shrine, 80
Severely Infected Demon,80, Ancient Underground Shrine, 80
Severely Infected Stymphalídes,80, Ancient Underground Shrine > Secret Chamber, 0
Severely Infected Demon,80, Ancient Underground Shrine > Secret Chamber, 0
Severely Infected Stymphalídes,80, Ancient Underground Shrine > Secret Chamber, 0
Infected Direwolf,80, Ancient Underground Shrine > Secret Chamber, 0
Scourge,80, Ancient Underground Shrine > Secret Chamber, 0
