Monster,Level,Location,Area Level
Crystal Eye,51, Alchemy Laboratory, 51
Alchemised Goblin,50, Alchemy Laboratory, 51
Mergan Healer,51, An Alchemist's Home, 51
Mergan Element Archer,53, An Alchemist's Home, 51
Crystal Eye,51, An Alchemist's Home, 51
Alchemised Goblin,49, Mergodan Residence, 53
Alchemised Goblin Fighter(3),49, Mergodan Residence, 53
Alchemised Goblin Fighter(3),50, Mergodan Residence, 53
Mergan Mage,55, Elixir Refining Chamber, 53
Mergan Defender,53, Elixir Refining Chamber, 53
Mergan Warrior,53, Elixir Refining Chamber, 53
Mergan Hunter,53, Elixir Refining Chamber, 53
Mergan Healer,53, Elixir Refining Chamber, 53
Sling Goblin,52, Mergoda Ruins: Royal Palace Level, 52
Silver Roar,52, Mergoda Ruins: Royal Palace Level, 52
Clone Zuhl,60, Mergoda Ruins: Royal Palace Level, 52
Alchemised Wolf,52, Mergoda Ruins: Royal Palace Level, 52
Mergan Defender,54, Mergoda Ruins: Royal Palace Level, 52
Mergan Warrior,53, Mergoda Ruins: Royal Palace Level, 52
Mergan Mage,52, Mergoda Ruins: Royal Palace Level, 52
Mergan Element Archer,52, Mergoda Ruins: Royal Palace Level, 52
Skull Lord,52, Mergoda Ruins: Royal Palace Level, 52
Ghost Mail,52, Mergoda Ruins: Royal Palace Level, 52
Mergan Healer,68, Mergodan Residence(Royal Palace), 0
Mergan Warrior,68, Mergodan Residence(Royal Palace), 0
Mergan Element Archer,68, Mergodan Residence(Royal Palace), 0
Goliath,68, Secret Proving Ground, 68
Mergan Warrior,68, Secret Proving Ground, 68
Mergan Healer,68, Secret Proving Ground, 68
Mergan Element Archer,68, Secret Proving Ground, 68
Mergan Fighter,68, Secret Proving Ground, 68
Infected Gorecyclops,65, Secret Proving Ground, 68
Bolt Skeleton,65, Secret Proving Ground, 68
Alchemy Eye,68, Secret Proving Ground, 68
Infected Hobgoblin,68, Secret Proving Ground, 68
Frost Machina,68, Secret Proving Ground, 68
