Monster,Level,Location,Area Level
Troll,70, Invading Demons Cave, 70
Infected Hobgoblin,70, Invading Demons Cave, 70
Infected Hobgoblin Fighter,70, Invading Demons Cave, 70
Severely Infected Pixie,70, Invading Demons Cave, 70
Severely Infected Behemoth,70, Invading Demons Cave, 70
Maneater,70, Invading Demons Cave, 70
Severely Infected Pixie,70, Invading Demons Cave, 70
Severely Infected Stymphalídes,70, Invading Demons Cave, 70
Pixie King,75, Invading Demons Cave, 70
Infected Hobgoblin,73, Morrow Cavern, 73
Infected Hobgoblin Fighter(7),73, Morrow Cavern, 73
Infected Hobgoblin Fighter(7),74, Morrow Cavern, 73
Infected Direwolf,73, Morrow Cavern, 73
Severely Infected Warg(8),73, Morrow Cavern, 73
Severely Infected Warg(8),74, Morrow Cavern, 73
Strix,73, Morrow Cavern, 73
Severely Infected Snow Harpy(5),73, Morrow Cavern, 73
Severely Infected Snow Harpy(5),74, Morrow Cavern, 73
Severely Infected Pixie,74, Morrow Cavern, 73
Mole Troll,74, Morrow Cavern, 73
Severely Infected Stymphalídes,75, Morrow Cavern, 73
Infected Gorecyclops,75, Morrow Cavern, 73
Infected Sling Hobgoblin,75, Sauzanel Infected Woods, 75
Infected Hobgoblin Fighter,75, Sauzanel Infected Woods, 75
Infected Direwolf,75, Sauzanel Infected Woods, 75
Phindymian Hunter,75, Sauzanel Infected Woods, 75
Phindymian Priest,75, Sauzanel Infected Woods, 75
Phindymian Warrior,75, Sauzanel Infected Woods, 75
Phindymian Hunter,75, Sauzanel Infected Woods, 75
Phindymian Priest,75, Sauzanel Infected Woods, 75
Severely Infected Gorecyclops,75, Sauzanel Infected Woods, 75
Severely Infected Pixie,75, Sauzanel Infected Woods, 75
Severely Infected Gorecyclops,75, Sauzanel Infected Woods, 75
Severely Infected Stymphalídes,75, Sauzanel Infected Woods, 75
Severely Infected Behemoth,75, Sauzanel Infected Woods, 75
Infected Sling Hobgoblin,75, Deepney Great Forest, 75
Infected Hobgoblin Fighter,75, Deepney Great Forest, 75
Infected Behemoth,75, Deepney Great Forest, 75
Severely Infected Pixie,75, Deepney Great Forest, 75
Severely Infected Demon,75, Deepney Great Forest, 75
Phindymian Sorcerer,75, Deepney Great Forest, 75
Severely Infected Stymphalídes,75, Deepney Great Forest, 75
Severely Infected Gorecyclops,75, Deepney Great Forest, 75
Infected Direwolf,78, Northerners Infected Woods, 78
Infected Gorecyclops,78, Northerners Infected Woods, 78
Phindymian Defender,78, Northerners Infected Woods, 78
Phindymian Element Archer,78, Northerners Infected Woods, 78
Phindymian Sorcerer,78, Northerners Infected Woods, 78
Phindymian Priest,78, Northerners Infected Woods, 78
Phindymian Fighter,78, Northerners Infected Woods, 78
Phindymian Warrior,78, Northerners Infected Woods, 78
Phindymian Seeker,78, Northerners Infected Woods, 78
Phindymian Hunter,78, Northerners Infected Woods, 78
Severely Infected Demon,78, Northerners Infected Woods, 78
Severely Infected Warg,78, Northerners Infected Woods, 78
Severely Infected Pixie,78, Northerners Infected Woods, 78
Severely Infected Stymphalídes,78, Northerners Infected Woods, 78
Severely Infected Griffin,78, Northerners Infected Woods, 78
