Monster,Level,Location,Area Level
Saurian(2),18, Lynwood Underground Waterway, 20
Saurian(2),19, Lynwood Underground Waterway, 20
Giant Saurian,18, Lynwood Underground Waterway, 20
Skeleton Mage(5),18, Lynwood Underground Waterway, 20
Skeleton Mage(5),19, Lynwood Underground Waterway, 20
Skeleton Mage(5),20, Lynwood Underground Waterway, 20
Brute Ape,20, Lynwood Underground Waterway, 20
Worm,18, Lynwood Underground Waterway, 20
Deep Slime,20, Lynwood Underground Waterway, 20
Dread Ape,22, Lynwood Underground Waterway, 20
Sulfur Saurian(8),21, Lynwood Underground Waterway, 20
Sulfur Saurian(8),23, Lynwood Underground Waterway, 20
Worm(2) ★Daytime,18, Lynwood Underground Waterway, 20
Worm(2) ★Daytime,20, Lynwood Underground Waterway, 20
Giant Sulfur Saurian ★Nighttime,25, Lynwood Underground Waterway, 20
Skeleton Knight,15, Demon's Den, 16
Skeleton(2),14, Demon's Den, 16
Skeleton(2),15, Demon's Den, 16
Skeleton Mage,16, Demon's Den, 16
Wolf,16, Demon's Den, 16
Mudman,16, Demon's Den, 16
Troll,18, Demon's Den, 16
Troll,31, Glowworm Cave, 17
Brute Ape(8),15, Glowworm Cave, 17
Brute Ape(8),16, Glowworm Cave, 17
Brute Ape(8),17, Glowworm Cave, 17
Forest Goblin,16, Glowworm Cave, 17
Sling Forest Goblin,18, Glowworm Cave, 17
Worm,1, Glowworm Cave, 17
Troll,34, Mysree Limestone Cave, 32
Slime(7),29, Mysree Limestone Cave, 32
Slime(7),32, Mysree Limestone Cave, 32
Mudman(7),30, Mysree Limestone Cave, 32
Mudman(7),32, Mysree Limestone Cave, 32
Sling Forest Goblin(3),30, Mysree Limestone Cave, 32
Sling Forest Goblin(3),31, Mysree Limestone Cave, 32
Sling Forest Goblin(3),32, Mysree Limestone Cave, 32
Giant Saurian,32, Mysree Limestone Cave, 32
Deep Slime,30, Mysree Limestone Cave, 32
Skeleton Sorcerer(3),10, Mysree Limestone Cave, 32
Skeleton Sorcerer(3),32, Mysree Limestone Cave, 32
Skeleton Mage,10, Mysree Limestone Cave, 32
Forest Goblin(2),30, Mysree Limestone Cave, 32
Forest Goblin(2),31, Mysree Limestone Cave, 32
Forest Goblin Fighter,32, Mysree Limestone Cave, 32
Troll,35, Mysree Limestone Cave, 32
Leech,28, Mysree Limestone Cave, 32
Harpy,35, Mysree Limestone Cave, 32
Chimera,32, Mysree Limestone Cave, 32
Mudman ★Daytime,30, Mysree Limestone Cave, 32
Skeleton(2),65, Ancient Burial Mound > Chamber of Immortality, 70
Skeleton(2),66, Ancient Burial Mound > Chamber of Immortality, 70
Skeleton Brute(3),66, Ancient Burial Mound > Chamber of Immortality, 70
Skeleton Brute(3),67, Ancient Burial Mound > Chamber of Immortality, 70
Skeleton Sorcerer,65, Ancient Burial Mound > Chamber of Immortality, 70
