Monster,Level,Location,Area Level
Skeleton Knight,45, Underground Crypt, 45
(Skeleton Knight),45, Underground Crypt, 45
Frosted Corpse Punisher(3),44, Underground Crypt, 45
Frosted Corpse Punisher(3),45, Underground Crypt, 45
White Chimera,45, Underground Crypt, 45
Skeleton,45, Underground Crypt, 45
Skeleton Sorcerer,45, Underground Crypt, 45
Sword Undead,45, Underground Crypt, 45
Stout Undead,45, Underground Crypt, 45
Ghoul,46, Underground Crypt, 45
Sword Undead,49, Tegor Flood Control Channel, 49
Frosted Corpse Torturer,49, Tegor Flood Control Channel, 49
Frosted Corpse Torturer,50, Tegor Flood Control Channel, 49
Ghoul,49, Tegor Flood Control Channel, 49
Skeleton Sorcerer,49, Tegor Flood Control Channel, 49
Skeleton Knight,50, Tegor Flood Control Channel, 49
(Skeleton Knight),50, Tegor Flood Control Channel, 49
Blob(8),10, Tegor Flood Control Channel, 49
Blob(8),49, Tegor Flood Control Channel, 49
Troll,49, Tegor Flood Control Channel, 49
Witch,50, Tegor Flood Control Channel, 49
(Skeleton Mage),50, Tegor Flood Control Channel, 49
Orc Soldier,44, Knights' Old Storehouse, 43
Captain Orc,44, Knights' Old Storehouse, 43
Orc Battler,44, Betland Underground Passage, 44
Captain Orc,46, Betland Underground Passage, 44
Colossus,45, Betland Underground Passage, 44
Orc Bringer,44, Gardnox Fortress, 44
Orc Battler(6),44, Gardnox Fortress, 44
Orc Battler(6),45, Gardnox Fortress, 44
Orc Trooper,45, Gardnox Fortress, 44
Captain Orc,48, Gardnox Fortress, 44
Grimwarg,44, Gardnox Fortress, 44
Snow Harpy,44, Gardnox Fortress, 44
Armoured Cyclops,44, Gardnox Fortress, 44
Goblin Bomber,44, Gardnox Fortress, 44
Stout Undead,44, Gardnox Fortress, 44
Blob,44, Gardnox Fortress, 44
Hobgoblin,44, Gardnox Fortress, 44
Hobgoblin Leader,45, Gardnox Fortress, 44
Orc Banger,66, Gardnox Wastewater Tunnel, 65
Orc Bringer,66, Gardnox Wastewater Tunnel, 65
Orc Aimer,66, Gardnox Wastewater Tunnel, 65
Orc Trooper,66, Gardnox Wastewater Tunnel, 65
Orc Soldier(5),65, Gardnox Wastewater Tunnel, 65
Orc Soldier(5),66, Gardnox Wastewater Tunnel, 65
General Orc,68, Gardnox Wastewater Tunnel, 65
Grimwarg,66, Gardnox Wastewater Tunnel, 65
Infected Orc Banger(2),67, Gardnox Wastewater Tunnel, 65
Infected Orc Banger(2),68, Gardnox Wastewater Tunnel, 65
Infected Orc Soldier(4),66, Gardnox Wastewater Tunnel, 65
Infected Orc Soldier(4),67, Gardnox Wastewater Tunnel, 65
Mogok,68, Gardnox Wastewater Tunnel, 65
