Name,Item Rarity,From,Reachable From/Location
Goblin Horn,IR3,Goblin sling lvl 15,Outside
Small Horn,IR1,Goblin Fighter lvl 15,Outside
Small Horn,IR1,Goblin Sheild lvl 15,Outside
Goblin Horn,IR3,Hobgoblin fighter lvl 15,Outside
Unrefined Demon Wine,IR4,Hobgoblin fighter lvl 15,Outside
Poison Flask,IR3,Chest (X296|Y393),Outside
Goblin Horn,IR3,Goblin lvl 25,Outside
Small Horn,IR1,Goblin Fighter lvl 25,Outside
Goblin Horn,IR3,Goblin Sling lvl25,Outside
Monster Gallstone ,IR4,Bone Pile (X307|Y382),Outside
Harpy Pinion,IR2,Bone Pile (X307|Y382),Outside
Goblin Horn,IR3,Hobgoblin fighter lvl 25,Outside
Unrefined Demon Wine,IR4,Hobgoblin lvl 25,Outside
Griffin Feather,IR6,Chest (X310|Y361),Outside
Oil Flask,IR2,Chest (x310|Y358),Outside
Oil Flask,IR2,Chest (X314|Y359),Outside
Griffin Feather,IR6,Griffin lvl 30,Outside
Griffin Beak,IR6,Griffin lvl 30,Outside
Unrefined Demon Wine,IR4,Goblin leader lvl  29,Outside
Goblin Horn,IR3,Goblin fighter lvl 25,Outside
Small Horn,IR1,Goblin Sheild lvl 25,Outside
Goblin Horn,IR3,Hobgoblin fighter lvl 25,Outside
Harpy pinion,IR2,Bone Pile (X312|Y379),Outside
Monster Gallstone ,IR4,Bone Pile (X312|Y379),Outside
Harpy pinion,IR2,Bone Pile (X313|Y377),Outside
Monster Gallstone ,IR4,Bone Pile (X313|Y377),Outside
Goblin Horn,IR3,Hobgoblin Leader lvl17,Outside
Red Lumber,IR4,Logging Spot (X312|Y409),Outside
Cedar Wood,IR5,Logging Spot (X312|Y409),Outside
Large Fang,IR5,Direwolf lvl 17,Outside
Strong Animal Leather,IR5,Direwolf lvl 17,Outside
Marble,IR5,Mining Spot (X316|Y406),Outside
Iron Ore,IR4,Mining Spot (X316|Y406),Outside
Iron Ore Fragment,IR3,Mining Spot (X316|Y406),Outside
Angelica,IR4,Herb Spot (X322|Y406),Outside
Yellow Thyme,IR5,Herb Spot (X322|Y406),Outside
Red Lumber,IR4,Logging Spot (X325|Y406),Outside
Marble,IR5,Mining Spot (X327|Y407),Outside
Iron Ore,IR4,Mining Spot (X327|Y407),Outside
Bird Feather ,IR1,Harpy lvl 16,Outside
Harpy pinion,IR2,Harpy lvl 16,Outside
Iron Ore,IR4,Mining Spot (X329|Y390),Outside
Red Lumber,IR4,Logging Spot (X325|Y393),Outside
Cedar Wood,IR5,Logging Spot (X325|Y393),Outside
Stagnant Water ,IR5,Water Spot (X317|Y401),Outside
Hematite Sand,IR5,Water Spot (X317|Y401),Outside
Stagnant Water ,IR5,Water Spot (X315|Y400),Outside
Hematite Sand,IR5,Water Spot (X315|Y400),Outside
