Name,Item Rarity,From,Reachable From/Location
Transmuted Fur,IR10,Damned Wolf lvl 45,Outside
Chipped Gold Lump,IR10,Damned Wolf lvl 45,Outside
Cracked Black Horn,IR10,Damned Goblin lvl 45,Outside
Yellow Thyme,IR5,Flower Spot (X274 Y92),Outside
Zandoratalis ,IR 10,Flower Spot (X275 Y93),Outside
Orc Tusk,IR3,Orc Bringer lvl 44,Outside
Unrefined Demon Wine,IR4,Orc Bringer lvl 44,Outside
Orcish Cloth,IR7,Orc Bringer lvl 44,Outside
Orc's War Tusk,IR7,Captain Orc lvl 46,Outside
Orc Decoration,IR9,Captain Orc lvl 46,Outside
Orc's War Tusk,IR7,Orc Tropper lvl 44,Outside
Orc's War Tusk,IR7,Orc Aimer lvl 44,Outside
Orc Tusk,IR3,Orc Soldier lvl 44,Outside
Unrefined Demon Wine,IR4,Orc Soldier lvl 44,Outside
Orc's War Tusk,IR7,Orc General lvl 46,Outside
Pigeon Blood,IR9,Orc General lvl 46,Outside
Pearl Mushroom,IR9,Mushroom Spot (X264 Y110),Outside
High Quality Gala Mushroom,IR7,Mushroom Spot (X264 Y110),Outside
Chipped Gold Lump,IR10,Damned Goblin Fighter lvl 45,Outside
Black Wood,IR9,Wood Spot (X276 Y85),Outside
Gold-Striped Hard Wood,IR10,Wood Spot (X276 Y85),Outside
Silver Ore,IR7,Mining Spot (X279 Y81),Outside
Mysterious Gold Lump,IR4,Alchemized Goblin lvl 46,Outside
Goblin Horn,IR3,Alchemized Goblin lvl 46,Outside
Fine Bleached Bone,IR3,Alchemized Skeleton lvl 46,Outside
Magick-Tinged Bone,IR5,Skeleton Sorcerer lvl 46,Outside
Ancient Grimoire,IR7,Skeleton Sorcerer lvl 46,Outside
Blank Scroll,IR2,Skeleton Sorcerer lvl 46,Outside
Sequoia Wood,IR8,Wood Spot (X330 Y87),Outside
Harpy Pinion,IR2,Alchemized Harpy lvl 46,Outside
White Liquor,IR5,Banded Fighter lvl 46,Outside
Drilled Ore,IR5,Mining Spot (X311 Y91),Outside
Gold Ore,IR9,Mining Spot (X311 Y91),Outside
Blob Flesh,IR9,Blob lvl 1,Outside
Strong Viscous Liquid,IR4,Blob lvl 1,Outside
Silver Ore,IR7,Mining Spot (X299 Y88),Outside
Drilled Ore,IR5,Mining Spot (X299 Y88),Outside
Monster Gallstone,IR4,Gathering Spot (X304 Y92),Outside
Orc Tusk,IR3,Gathering Spot (X304 Y92),Outside
Blob Flesh,IR9,Blob lvl 1,Outside
Blue Currant,IR8,Flower Spot (X314 Y82),Outside
Zandoratalis ,IR10,Flower Spot (X314 Y82),Outside
Blue Currant,IR8,Flower Spot (X316 Y83),Outside
Blue Flower,IR7,Flower Spot (X316 Y83),Outside
Pearl Mushroom,?,Mushroom Spot (X239Y95,Outside
Pearl Mushroom,?,Mushroom Spot X236Y95,Outside
Transmuted Fur,IR10,Damned Wolf lvl 53,Mergoda Flood Channels lvl 53
Chipped Gold Lump,IR10,Damned Goblin lvl 53,Mergoda Flood Channels lvl 53
Cracked Black Horn,IR10,Damned Goblin lvl 53,Mergoda Flood Channels lvl 53
Magick-Tinged Bone,IR5,Gather Spot (X64 Y-27),Mergoda Flood Channels lvl 53
White Shining Sand,IR8,Gather Spot (X64 Y-27),Mergoda Flood Channels lvl 53
Silver Ore,IR7,Mining Spot (X47 Y40),Mergoda Flood Channels lvl 53
Sandcrystal ,IR9,Chest (X46 Y-50),Mergoda Flood Channels lvl 53
Lava Rock,IR8,Geo Saurian lvl 54,Mergoda Flood Channels lvl 53
Rock Scale,IR6,Geo Saurian lvl 54,Mergoda Flood Channels lvl 53
Superior Saurian Tail,IR6,Geo Saurian lvl 54,Mergoda Flood Channels lvl 53
Black Ore,IR10,Mining Spot (X57 Y-93),Mergoda Flood Channels lvl 53
Scroll of Sorcery,IR4,Gather Spot (X44 Y-93),Mergoda Flood Channels lvl 53
Emerald,IR9,Chest (X61 Y-168),Mergoda Flood Channels lvl 53
Apophyllite,IR4,Giant Saurian Sage lvl 55,Mergoda Flood Channels lvl 53
Strong Lizardscale Pelt,IR6,Giant Saurian Sage lvl 55,Mergoda Flood Channels lvl 53
Saurian Gland,IR6,Giant Saurian Sage lvl 55,Mergoda Flood Channels lvl 53
Saurian Tail,IR2,Saurian Sage lvl 48,Mergoda Flood Channels lvl 53
Saurian Gland,IR6,Saurian Sage lvl 48,Mergoda Flood Channels lvl 53
Mithril Ore,IR9,Chest (X54 Y-200),Mergoda Flood Channels lvl 53
Mithril Ingot,IR9,Chest (X54 Y-200),Mergoda Flood Channels lvl 53
Giant Bone,IR3,Gather Spot (X64 Y-221),Mergoda Flood Channels lvl 53
White Shining Sand,IR8,Gather Spot (X64 Y-221),Mergoda Flood Channels lvl 53
White Liquor,IR5,Banded Fighter lvl 48,Ruins Site Cellar lvl 48
White Liquor,IR5,Banded Seeker lvl 48,Ruins Site Cellar lvl 48
White Liquor,IR5,Banded Healer lvl 48,Ruins Site Cellar lvl 48
Silver Ore,IR7,Gathering Spot (X44 Y44),Ruins Site Cellar lvl 48
Blank Scroll,IR2,Gathering Spot (X58 Y44),Ruins Site Cellar lvl 48
Large Beast-Steak,IR5,Gathering Spot (X58 Y44),Ruins Site Cellar lvl 48
Scroll of Power,IR4,Gathering Spot (X55 Y36),Ruins Site Cellar lvl 48
Silver Ore,IR7,Gathering Spot (X55 Y36),Ruins Site Cellar lvl 48
Blue Alluvial Gold,IR6,Gather Spot (X51 Y-11),Old Underground Laboratory lvl 48
Sandcrystal,IR9,Gather Spot (X51 Y-11),Old Underground Laboratory lvl 48
Goblin Horn,IR3,Alchemized Sling Goblin lvl 48,Old Underground Laboratory lvl 48
Mysterious Gold Lump,IR4,Alchemized Sling Goblin lvl 48,Old Underground Laboratory lvl 48
Blue Alluvial Gold,IR6,Gather Spot (X47 Y-23),Old Underground Laboratory lvl 48
Chipped Gold Lump,IR10,Gather Spot (X47 Y-23),Old Underground Laboratory lvl 48
Bone Meal,IR10,Alchemized Skeleton lvl 49,Old Underground Laboratory lvl 48
Mysterious Gold Lump,IR4,Alchemized Skeleton lvl 49,Old Underground Laboratory lvl 48
Fine Bleached Bone,IR3,Alchemized Skeleton lvl 49,Old Underground Laboratory lvl 48
Animal Pelt,IR1,Alchemized Wolf lvl 48,Old Underground Laboratory lvl 48
Mysterious Gold Lump,IR4,Alchemized Wolf lvl 48,Old Underground Laboratory lvl 48
Blue Alluvial Gold,IR6,Chest (X53 Y-45),Old Underground Laboratory lvl 48
Chipped Gold Lump,IR10,Chest (X53 Y-45),Old Underground Laboratory lvl 48
Dirty Sheet Metal,IR10,Damned Golem lvl 45,Old Underground Laboratory lvl 48
Chipped Gold Lump,IR10,Damned Golem lvl 45,Old Underground Laboratory lvl 48
Magick-Tinged Bone,IR5,Wight lvl 50,Old Underground Laboratory lvl 48
Silver Ore,IR7,Chest (X51 Y-72),Old Underground Laboratory lvl 48
Black Ore,IR10,Chest (X51 Y-72),Old Underground Laboratory lvl 48
Transmuted Fur,IR10,Damned Wolf lvl 50,Mergoda Security District lvl 49
Chipped Gold Lump,IR10,Damned Wolf lvl 50,Mergoda Security District lvl 49
Chipped Gold Lump,IR10,Damned Goblin lvl 50,Mergoda Security District lvl 49
Cracked Black Horn,IR10,Damned Goblin lvl 50,Mergoda Security District lvl 49
Chipped Gold Lump,IR10,Damned Golem lvl 55,Mergoda Security District lvl 49
Dirty Sheet Metal,IR10,Damned Golem lvl 55,Mergoda Security District lvl 49
Ambrosial Beast-Steak,IR8,Griffin lvl 57,Mergoda Security District lvl 49
Griffin Beak,IR6,Griffin lvl 57,Mergoda Security District lvl 49
Griffin Feather,IR6,Griffin lvl 57,Mergoda Security District lvl 49
Griffin Glossy Plume,IR12,Griffin lvl 57,Mergoda Security District lvl 49
Phantom Ore,IR7,Chest (X118 Y108),Mergoda Security District lvl 49
Ogre Claw,IR6,Ogre lvl 55,Mergoda Security District lvl 49
Necrophagous Bristle,IR7,Ogre lvl 55,Mergoda Security District lvl 49
Rugged Leather,IR5,Armored Cyclops lvl 56,Mergoda Security District lvl 49
Giant Eyeball,IR3,Armored Cyclops lvl 56,Mergoda Security District lvl 49
Giant Bone,IR8,Armored Cyclops lvl 56,Mergoda Security District lvl 49
Large Metal Plate,IR5,Armored Cyclops lvl 56,Mergoda Security District lvl 49
Cyclops Tusk,IR5,Armored Cyclops lvl 56,Mergoda Security District lvl 49
Beast Claw,IR8,Grimwarg lvl 50,Mergoda Security District lvl 49
Beast Leather,IR9,Grimwarg lvl 50,Mergoda Security District lvl 49
Beast Fur,IR8,Grimwarg lvl 50,Mergoda Security District lvl 49
Blank Scroll,IR2,Skeleton Mage lvl 49,Mergoda Security District lvl 49
Dry Bone,IR2,Skeleton Mage lvl 49,Mergoda Security District lvl 49
Copper Ore,IR2,Skeleton lvl 48,Mergoda Security District lvl 49
Dry Bone,IR2,Skeleton lvl 48,Mergoda Security District lvl 49
Fine Bleached Bone,IR3,Skeleton lvl 48,Mergoda Security District lvl 49
Fine Bleached Bone,IR3,Skeleton Knight lvl 51,Mergoda Security District lvl 49
Rusted Plate,IR6,Skeleton Knight lvl 51,Mergoda Security District lvl 49
Cursed Skull,IR11,Skull Lord lvl 55,Mergoda Security District lvl 49
Bone Meal,IR10,Skull Lord lvl 55,Mergoda Security District lvl 49
Black Ore ,IR10,Chest (X139 Y70),Mergoda Security District lvl 49
Magick-Tinged Bone,IR5,Wight lvl 56,Mergoda Security District lvl 49
Orb of Darkness,IR3,Wight lvl 56,Mergoda Security District lvl 49
Black Skull,IR6,Wight lvl 56,Mergoda Security District lvl 49
Spirit Silver Ingot,IR8,Chest (X129 Y71),Mergoda Security District lvl 49
Alchemite,IR12,Goliath lvl 55,Mergoda Security District lvl 49
Alchemized Armor Plate,IR11,Goliath lvl 55,Mergoda Security District lvl 49
Mysterious Gold Lump,IR4,Gather Spot (X89 Y86),Mergoda Security District lvl 49
Alchemite,IR12,Gather Spot (X86 Y93),Mergoda Security District lvl 49
Mysterious Gold Lump,IR4,Gather Spot (X86 Y93),Mergoda Security District lvl 49
Alchemite,IR12,Chest (X55 Y122),Mergoda Security District lvl 49
Platinum Blood,IR55,White Griffin lvl 55,Mergoda Security District lvl 49
Dazzling Silver Plume,IR45,White Griffin lvl 55,Mergoda Security District lvl 49
Winged Beast's Heart,IR85,White Griffin lvl 55,Mergoda Security District lvl 49
Dark Metal,x,Giant Machina Lv ?,Pit of Screams lvl 70
Refined Paraffin,?,Chest x43y-40,Pit of Screams lvl 70
Prism Crystal,?,Chest x75y-63,Pit of Screams lvl 70
