Monster,Level,Location,Area Level
Damned Goblin Fighter,49, Mergoda Security District > Center, 0
Damned Sling Goblin,49, Mergoda Security District > Center, 0
Damned Golem,49, Mergoda Security District > Center, 0
??? (Nameless),55, Mergoda Security District > Center, 0
Skeleton Sorcerer,49, Mergoda Security District > Left side, 0
Skeleton Knight,49, Mergoda Security District > Left side, 0
Skeleton Mage,50, Mergoda Security District > Left side, 0
Warrior Undead,49, Mergoda Security District > Left side, 0
Frosted Corpse Torturer,49, Mergoda Security District > Left side, 0
Blob,49, Mergoda Security District > Right side, 0
(Blob),49, Mergoda Security District > Right side, 0
Warrior Undead,49, Mergoda Security District > Right side, 0
Sword Undead,49, Mergoda Security District > Right side, 0
Damned Wolf,49, Mergoda Security District > Right side, 0
Damned Goblin,49, Mergoda Security District > Right side, 0
Damned Goblin Fighter(2),49, Mergoda Security District > Right side, 0
Damned Goblin Fighter(2),50, Mergoda Security District > Right side, 0
Damned Sling Goblin,49, Mergoda Security District > Right side, 0
Skeleton Mage,49, Mergoda Security District > Right side, 0
Skeleton Warrior(2),49, Mergoda Security District > Right side, 0
Skeleton Warrior(2),50, Mergoda Security District > Right side, 0
Frosted Corpse Punisher,49, Mergoda Security District > Right side, 0
Skeleton Sorcerer,50, Mergoda Security District > Right side, 0
Skeleton Warrior,50, Mergoda Security District > Right side, 0
Damned Goblin(5),53, Mergoda Flood Channels, 53
Damned Goblin(5),54, Mergoda Flood Channels, 53
Damned Goblin Fighter(3),54, Mergoda Flood Channels, 53
Damned Goblin Fighter(3),55, Mergoda Flood Channels, 53
Damned Sling Goblin(3),52, Mergoda Flood Channels, 53
Damned Sling Goblin(3),54, Mergoda Flood Channels, 53
Silver Roar,54, Mergoda Flood Channels, 53
Blob,53, Mergoda Flood Channels, 53
Skeleton Sorcerer,54, Mergoda Flood Channels, 53
Skeleton Knight,54, Mergoda Flood Channels, 53
Glutton Ooze,53, Mergoda Flood Channels, 53
Living Armour(4),54, Mergoda Flood Channels, 53
Living Armour(4),56, Mergoda Flood Channels, 53
Emerald Eye,54, Mergoda Flood Channels, 53
Crystal Eye,54, Mergoda Flood Channels, 53
Ruby Eye,54, Mergoda Flood Channels, 53
Banded Warrior(2),55, Mergoda Flood Channels, 53
Banded Warrior(2),56, Mergoda Flood Channels, 53
Banded Seeker(4),55, Mergoda Flood Channels, 53
Banded Seeker(4),56, Mergoda Flood Channels, 53
Banded Healer,55, Mergoda Flood Channels, 53
Banded Defender(4),55, Mergoda Flood Channels, 53
Banded Defender(4),56, Mergoda Flood Channels, 53
Banded Mage,55, Mergoda Flood Channels, 53
Banded Fighter,55, Mergoda Flood Channels, 53
Damned Wolf ★Daytime,53, Mergoda Flood Channels, 53
Banded Hunter(2) ★Daytime,55, Mergoda Flood Channels, 53
Banded Hunter(2) ★Daytime,56, Mergoda Flood Channels, 53
Banded Warrior ★Daytime,56, Mergoda Flood Channels, 53
Banded Fighter(2) ★Nighttime,55, Mergoda Flood Channels, 53
Banded Fighter(2) ★Nighttime,56, Mergoda Flood Channels, 53
Banded Healer ★Nighttime,56, Mergoda Flood Channels, 53
Shadow Wolf,47, Ruins Site Cellar, 48
Shadow Goblin Leader,47, Ruins Site Cellar, 48
Saurian Sage,48, Sage's Old Well, 48
Giant Saurian Sage,40, Sage's Old Well, 48
Giant Saurian,48, Sage's Old Well, 48
Slime,40, Sage's Old Well, 48
Shadow Goblin,48, Old Underground Laboratory, 48
Chimera,50, Old Underground Laboratory, 48
Frosted Corpse Punisher,48, Old Underground Laboratory, 48
Damned Goblin Fighter,48, Old Underground Laboratory, 48
Blob,48, Old Underground Laboratory, 48
Golem,48, Old Underground Laboratory, 48
Sulfur Saurian,70, Pit of Screams, 70
Giant Sulfur Saurian,70, Pit of Screams, 70
Damned Wolf,70, Pit of Screams, 70
Damned Goblin Fighter,70, Pit of Screams, 70
Living Armour,70, Pit of Screams, 70
Banded Seeker,70, Pit of Screams, 70
Banded Healer,70, Pit of Screams, 70
Banded Defender,70, Pit of Screams, 70
Damned Golem,70, Pit of Screams, 70
Gigant Machina,70, Pit of Screams, 70
